entrantId,positionOrder,positionText,laps,time
6630,1,1,16,79138
6629,2,2,25,79214
6631,3,3,13,79502
6655,4,4,14,79687
6649,5,5,23,79748
6656,6,6,6,80021
6640,7,7,17,80430
6639,8,8,10,80446
6657,9,9,5,80633
6637,10,10,8,80866
6651,11,11,27,81095
6650,12,12,24,81277
6638,13,13,13,81285
6641,14,14,6,81520
6635,15,15,13,81792
6636,16,16,5,82003
6642,17,17,11,82279
6643,18,18,16,82466
6644,19,19,15,82520
6646,20,20,20,82664
6645,21,21,20,82716
6652,22,22,23,83149
6647,23,23,19,83663
6648,24,24,20,83715
6653,25,25,18,84887
