sessionId,entrantId,positionOrder,positionText,laps,time
2004-15-FP4,6630,1,1,11,80555
2004-15-FP4,6631,2,2,11,80653
2004-15-FP4,6637,3,3,13,80734
2004-15-FP4,6636,4,4,11,80773
2004-15-FP4,6638,5,5,11,80805
2004-15-FP4,6657,6,6,11,80856
2004-15-FP4,6629,7,7,10,80898
2004-15-FP4,6658,8,8,10,80921
2004-15-FP4,6656,9,9,11,81058
2004-15-FP4,6635,10,10,8,81506
2004-15-FP4,6640,11,11,14,81859
2004-15-FP4,6660,12,12,18,81889
2004-15-FP4,6639,13,13,9,81929
2004-15-FP4,6661,14,14,20,82114
2004-15-FP4,6642,15,15,18,82230
2004-15-FP4,6641,16,16,15,82490
2004-15-FP4,6645,17,17,13,83146
2004-15-FP4,6647,18,18,14,83794
2004-15-FP4,6646,19,19,2,
2004-15-FP4,6648,20,20,2,
