sessionId,entrantId,positionOrder,positionText,laps,time
2004-16-FP1,6649,1,1,22,95369
2004-16-FP1,6632,2,2,13,95455
2004-16-FP1,6631,3,3,13,95761
2004-16-FP1,6640,4,4,12,96086
2004-16-FP1,6662,5,5,21,96394
2004-16-FP1,6637,6,6,11,96475
2004-16-FP1,6630,7,7,14,96660
2004-16-FP1,6636,8,8,15,96884
2004-16-FP1,6639,9,9,9,96944
2004-16-FP1,6661,10,10,16,96970
2004-16-FP1,6657,11,11,5,97102
2004-16-FP1,6650,12,12,19,97142
2004-16-FP1,6660,13,13,14,97191
2004-16-FP1,6663,14,14,20,97240
2004-16-FP1,6629,15,15,11,97300
2004-16-FP1,6638,16,16,9,97438
2004-16-FP1,6654,17,17,15,97587
2004-16-FP1,6656,18,18,5,97976
2004-16-FP1,6645,19,19,14,98132
2004-16-FP1,6642,20,20,15,98504
2004-16-FP1,6641,21,21,11,98761
2004-16-FP1,6647,22,22,13,98805
2004-16-FP1,6664,23,23,23,99244
2004-16-FP1,6653,24,24,15,99529
2004-16-FP1,6648,25,25,12,102795
