entrantId,positionOrder,positionText,laps,time
6687,1,1,31,80484
6669,2,2,28,81052
6675,3,3,16,81704
6689,4,4,35,81889
6671,5,5,10,81899
6692,6,6,24,82025
6693,7,7,22,82048
6696,8,8,17,82174
6672,9,9,23,82211
6670,10,10,27,82335
6678,11,11,23,82791
6677,12,12,22,82955
6681,13,13,20,83343
6674,14,14,16,83458
6682,15,15,21,83466
6679,16,16,20,83815
6684,17,17,16,83842
6673,18,18,14,83964
6700,19,19,38,84320
6683,20,20,21,84573
6697,21,21,29,84626
6690,22,22,15,85172
6698,23,23,14,86620
6699,24,24,1,
