sessionId,entrantId,positionOrder,positionText,laps,time
2005-04-FP3,6692,1,1,8,81356
2005-04-FP3,6693,2,2,14,82885
2005-04-FP3,6678,3,3,6,82971
2005-04-FP3,6675,4,4,6,83723
2005-04-FP3,6673,5,5,4,83788
2005-04-FP3,6697,6,6,17,83894
2005-04-FP3,6672,7,7,3,84120
2005-04-FP3,6682,8,8,4,84156
2005-04-FP3,6696,9,9,7,84262
2005-04-FP3,6674,10,10,4,84341
2005-04-FP3,6679,11,11,13,84523
2005-04-FP3,6669,12,12,5,84757
2005-04-FP3,6670,13,13,6,84770
2005-04-FP3,6684,14,14,5,85148
2005-04-FP3,6683,15,15,12,85197
2005-04-FP3,6677,16,16,6,85393
2005-04-FP3,6681,17,17,3,85730
2005-04-FP3,6699,18,18,10,87658
2005-04-FP3,6698,19,19,7,87854
