entrantId,lap,time,timeOfDay,annotation
6670,1,30619,14:09:04,
6682,1,26870,14:09:24,
6681,8,13658,14:19:42,
6693,11,25585,14:24:27,
6674,12,23876,14:25:35,
6675,18,25702,14:34:41,
6681,18,27484,14:35:23,
6678,19,27346,14:36:47,
6697,19,27232,14:36:54,
6676,19,25994,14:36:54,
6698,19,27820,14:38:06,
6679,20,27099,14:38:06,
6692,20,26431,14:38:25,
6699,20,28087,14:39:33,
6683,21,25413,14:40:37,
6672,22,26905,14:41:40,
6684,22,24722,14:42:13,
6671,23,26478,14:42:41,
6679,23,13683,14:43:15,
6669,23,25616,14:43:15,
6677,24,26019,14:45:17,
6682,26,25374,14:48:26,
6670,27,25370,14:49:58,
6699,30,13905,14:56:08,
6674,31,24911,14:55:09,
6693,33,23395,14:58:34,
6698,37,28357,15:07:46,
6699,38,26772,15:09:10,
6684,40,24509,15:11:01,
6683,42,24156,15:14:11,
6675,43,23444,15:13:40,
6678,44,24140,15:16:07,
6697,44,24200,15:16:15,
6683,44,13732,15:17:48,
6676,45,23937,15:17:42,
6681,45,23596,15:17:49,
6692,46,22871,15:19:10,
6669,46,23459,15:19:25,
6677,46,22902,15:20:11,
6671,47,22738,15:20:04,
6679,47,22793,15:20:35,
6693,48,21880,15:21:56,
6670,49,21936,15:24:32,
6674,50,22073,15:24:55,
6672,50,21126,15:25:35,
6678,54,38483,15:32:48,
