entrantId,lap,time,timeOfDay,annotation
6678,1,25340,15:05:25,
6674,5,26098,15:11:21,
6673,9,30901,15:18:17,
6671,13,27266,15:22:33,
6674,13,26837,15:23:33,
6673,13,42115,15:24:44,
6672,14,36962,15:24:03,
6692,14,59003,15:24:50,
6683,14,28770,15:25:06,
6705,15,44474,15:26:42,
6692,15,1522614,15:27:43,
6699,16,23630,15:28:09,
6699,17,26756,15:29:59,
6684,17,24714,15:29:59,
6681,18,27064,15:30:00,
6682,18,27500,15:30:50,
6676,21,27808,15:34:10,
6669,21,28527,15:34:35,
6675,22,27581,15:35:24,
6680,23,26503,15:37:38,
6677,23,26496,15:38:06,
6692,23,25042,16:05:02,
6679,24,25938,15:39:05,
6693,24,26035,15:39:15,
6699,25,151886,15:42:45,
6683,28,50742,15:46:49,
6670,29,28938,15:46:41,
6684,30,24526,15:50:03,
6671,34,29505,15:53:18,
6705,34,30554,15:56:06,
6683,39,27116,16:04:13,
6699,39,103242,16:06:56,
6682,40,23795,16:03:32,
6676,41,24983,16:03:16,
6681,43,23325,16:06:57,
6684,43,23750,16:10:00,
6680,44,23991,16:08:41,
6675,45,23384,16:08:49,
6679,45,23189,16:10:06,
6677,45,23322,16:10:48,
6693,46,22947,16:11:48,
6669,47,23092,16:12:43,
