entrantId,positionOrder,positionText,laps,time
6687,1,1,20,93463
6693,2,2,13,95303
6689,3,3,24,95373
6675,4,4,5,95481
6692,5,5,12,95494
6676,6,6,9,95521
6671,7,7,10,95605
6673,8,8,13,95945
6679,9,9,10,96089
6669,10,10,11,96096
6709,11,11,12,96208
6670,12,12,11,96829
6713,13,13,13,96866
6688,14,14,24,97119
6678,15,15,11,97123
6672,16,16,5,97143
6680,17,17,8,97490
6677,18,18,7,97688
6712,19,19,9,97764
6711,20,20,15,98308
6710,21,21,11,99088
6706,22,22,21,99687
6705,23,23,14,100724
6699,24,24,13,100787
