entrantId,lap,time,timeOfDay,annotation
6733,1,34193,15:05:29,
6728,1,574749,15:06:22,
6728,4,248631,15:21:12,
6731,12,28625,15:24:10,
6721,13,27796,15:25:08,
6723,14,26486,15:26:27,
6736,16,30339,15:31:41,
6716,17,29126,15:30:56,
6726,19,26023,15:34:15,
6732,19,26871,15:35:48,
6733,19,34239,15:35:53,
6735,19,28588,15:35:53,
6722,20,25511,15:36:35,
6734,22,29904,15:40:06,
6721,22,28675,15:40:07,
6718,23,26518,15:41:07,
6719,23,30135,15:41:12,
6730,23,27015,15:41:25,
6729,24,25701,15:42:48,
6715,26,25455,15:45:42,
6720,29,28412,15:51:04,
6725,31,30540,15:54:41,
6722,36,30312,16:03:00,
6725,36,30219,16:03:17,
6731,36,28686,16:05:15,
6732,37,28201,16:06:07,
6733,37,28073,16:06:15,
6716,38,25473,16:04:59,
6726,38,26325,16:05:13,
6721,38,28431,16:06:16,
6735,39,28241,16:10:19,
6730,41,25341,16:10:58,
6718,42,25467,16:12:01,
6729,42,24971,16:12:07,
6715,43,24441,16:13:13,
6719,45,25614,16:17:00,
