entrantId,lap,time,timeOfDay,annotation
6736,1,79951,14:05:45,
6736,2,715326,14:09:20,
6725,14,32618,14:24:55,
6726,15,26651,14:26:09,
6721,16,23342,14:27:50,
6731,17,25767,14:30:11,
6720,19,25381,14:31:58,
6719,20,25502,14:33:10,
6717,22,25185,14:36:32,
6718,23,24292,14:37:52,
6723,23,24469,14:37:58,
6734,24,26539,14:40:06,
6735,24,26350,14:41:08,
6715,25,26041,14:40:29,
6733,25,25272,14:41:37,
6730,27,41869,14:44:05,
6724,27,27538,14:44:11,
6727,27,24743,14:44:18,
6729,28,25749,14:45:56,
6728,28,26000,14:45:58,
6716,29,23905,14:47:00,
6726,30,38792,14:48:05,
6721,32,23150,14:51:22,
6725,34,26958,14:54:32,
6731,37,25957,15:00:23,
6715,41,23310,15:03:54,
6720,41,24531,15:04:07,
6719,42,23936,15:05:19,
6723,42,25456,15:05:43,
6734,42,27964,15:06:46,
6735,42,25322,15:08:42,
6718,44,23999,15:08:26,
6726,44,24110,15:08:48,
6733,44,25228,15:09:41,
6721,46,23432,15:11:49,
6727,46,25055,15:12:17,
6717,47,22918,15:12:53,
6716,48,22856,15:14:37,
6724,48,24163,15:15:07,
6730,48,25103,15:15:18,
6729,51,23759,15:19:50,
