sessionId,entrantId,positionOrder,positionText,laps,time
2006-14-FP2,6753,1,1,29,88091
2006-14-FP2,6720,2,2,18,88164
2006-14-FP2,6726,3,3,10,88506
2006-14-FP2,6738,4,4,31,88598
2006-14-FP2,6746,5,5,21,88614
2006-14-FP2,6719,6,6,13,88819
2006-14-FP2,6739,7,7,15,88848
2006-14-FP2,6717,8,8,10,89042
2006-14-FP2,6749,9,9,10,89112
2006-14-FP2,6725,10,10,16,89214
2006-14-FP2,6743,11,11,27,89719
2006-14-FP2,6715,12,12,16,89741
2006-14-FP2,6742,13,13,30,89858
2006-14-FP2,6734,14,14,20,89890
2006-14-FP2,6747,15,15,18,90006
2006-14-FP2,6754,16,16,25,90491
2006-14-FP2,6752,17,17,9,90502
2006-14-FP2,6716,18,18,16,90504
2006-14-FP2,6737,19,19,36,90509
2006-14-FP2,6733,20,20,17,90551
2006-14-FP2,6723,21,21,13,90775
2006-14-FP2,6728,22,22,16,90889
2006-14-FP2,6724,23,23,17,91015
2006-14-FP2,6750,24,24,11,91091
2006-14-FP2,6751,25,25,21,91316
2006-14-FP2,6731,26,26,15,91519
2006-14-FP2,6729,27,27,10,91526
2006-14-FP2,6727,28,28,10,91540
2006-14-FP2,6732,29,29,7,92102
