sessionId,entrantId,positionOrder,positionText,laps,time
2007-04-FP2,6762,1,1,33,81397
2007-04-FP2,6764,2,2,39,81684
2007-04-FP2,6765,3,3,38,81966
2007-04-FP2,6766,4,4,31,82048
2007-04-FP2,6763,5,5,37,82188
2007-04-FP2,6767,6,6,33,82251
2007-04-FP2,6776,7,7,29,82415
2007-04-FP2,6770,8,8,40,82543
2007-04-FP2,6775,9,9,39,82589
2007-04-FP2,6779,10,10,35,82617
2007-04-FP2,6771,11,11,43,82710
2007-04-FP2,6774,12,12,30,82719
2007-04-FP2,6768,13,13,39,82808
2007-04-FP2,6769,14,14,40,82926
2007-04-FP2,6777,15,15,30,82950
2007-04-FP2,6778,16,16,29,83143
2007-04-FP2,6772,17,17,28,83219
2007-04-FP2,6773,18,18,42,83307
2007-04-FP2,6782,19,19,40,83493
2007-04-FP2,6783,20,20,49,83497
2007-04-FP2,6780,21,21,33,83609
2007-04-FP2,6781,22,22,30,83736
