sessionId,entrantId,positionOrder,positionText,time,gridPosition,gridPenalty,laps,points,pointsCountForWDC,pointsGained,gap,timePenalty,reasonRetired
2007-12-R,6766,1,1,5202161,1,,58,10,1,10,,,
2007-12-R,6767,2,2,5204436,3,,58,8,1,8,2275,,
2007-12-R,6762,3,3,5228342,4,,58,6,1,6,26181,,
2007-12-R,6770,4,4,5241835,6,,58,5,1,5,39674,,
2007-12-R,6763,5,5,5247246,2,,58,4,1,4,45085,,
2007-12-R,6765,6,6,5248330,7,,58,3,1,3,46169,,
2007-12-R,6776,7,7,5257939,8,,58,2,1,2,55778,,
2007-12-R,6771,8,8,5258868,5,,58,1,1,1,56707,,
2007-12-R,6764,9,9,5261652,10,,58,0,1,0,59491,,
2007-12-R,6774,10,10,5273170,13,,58,0,1,0,"01:11,01",,
2007-12-R,6777,11,11,5281789,14,,58,0,1,0,"01:19,63",,
2007-12-R,6772,12,12,,16,,57,0,1,0,+1 lap,,
2007-12-R,6768,13,13,,21,10,57,0,1,0,+1 lap,,
2007-12-R,6783,14,14,,11,,57,0,1,0,+1 lap,,
2007-12-R,6778,15,15,,15,,57,0,1,0,+1 lap,,
2007-12-R,6773,16,16,,9,,57,0,1,0,+1 lap,,
2007-12-R,6769,17,17,,22,10,57,0,1,0,+1 lap,,
2007-12-R,6782,18,18,,17,,57,0,1,0,+1 lap,,
2007-12-R,6789,19,19,,18,,57,0,1,0,+1 lap,,
2007-12-R,6790,20,20,,20,,56,0,1,0,+2 laps,,
2007-12-R,6780,21,21,,19,,53,0,1,0,,,Fuel pressure
2007-12-R,6775,22,DNF,,12,,9,0,1,0,,,Hydraulics
