entrantId,positionOrder,positionText,time,gridPosition,gridPenalty,laps,points,pointsCountForWDC,pointsGained,gap,timePenalty,reasonRetired
6767,1,1,4839066,1,,44,10,1,10,,,
6766,2,2,4843761,2,,44,8,1,8,4695,,
6762,3,3,4853409,3,,44,6,1,6,14343,,
6763,4,4,4862681,4,,44,5,1,5,23615,,
6770,5,5,4890945,6,,44,4,1,4,51879,,
6776,6,6,4915942,5,,44,3,1,3,"01:16,88",,
6775,7,7,4919705,7,,44,2,1,2,"01:20,64",,
6765,8,8,4924172,9,,44,1,1,1,"01:25,11",,
6771,9,9,4924727,14,10,44,0,1,0,"01:25,66",,
6772,10,10,4927640,10,,44,0,1,0,"01:28,57",,
6773,11,11,4942719,8,,44,0,1,0,"01:43,65",,
6778,12,12,,13,,43,0,1,0,+1 lap,,
6769,13,13,,17,,43,0,1,0,+1 lap,,
6791,14,14,,19,,43,0,1,0,+1 lap,,
6782,15,15,,18,,43,0,1,0,+1 lap,,
6783,16,16,,20,,43,0,1,0,+1 lap,,
6792,17,17,,21,,43,0,1,0,+1 lap,,
6768,18,DNF,,12,,36,0,1,0,,,Hydraulics
6777,19,DNF,,15,,34,0,1,0,,,Fuel pressure
6774,20,DNF,,11,,29,0,1,0,,,Hydraulics
6789,21,DNF,,16,,8,0,1,0,,,Steering
6764,22,DNF,,22,SFB,1,0,1,0,,,Suspension
