entrantId,positionOrder,positionText,time,gridPosition,gridPenalty,laps,points,pointsCountForWDC,pointsGained,timePenalty,reasonRetired
6795,1,1,5209451,1,,58,10,1,10,,
6814,2,2,5213230,3,,58,8,1,8,,
6794,3,3,5213722,4,,58,6,1,6,,
6797,4,4,5231396,5,,58,5,1,5,,
6796,5,5,5248192,9,,58,4,1,4,,
6798,6,6,5263175,7,,58,3,1,3,,
6803,7,7,5273680,6,,58,2,1,2,,
6800,8,8,5280857,11,,58,1,1,1,,
6802,9,9,5284721,10,,58,0,1,0,,
6804,10,10,5285795,8,,58,0,1,0,,
6808,11,11,,13,,57,0,1,0,,
6815,12,12,,2,,57,0,1,0,,
6805,13,13,,15,,57,0,1,0,,
6809,14,14,,12,,57,0,1,0,,
6799,15,15,,17,,57,0,1,0,,
6812,16,16,,19,,57,0,1,0,,
6807,17,17,,14,,57,0,1,0,,
6806,18,DNF,,18,,24,0,1,0,,Suspension
6801,19,DNF,,16,,1,0,1,0,,Collision damage
6813,20,DNF,,20,3,0,0,1,0,,Collision
