entrantId,lap,time,pos
6794,1,78786,1
6795,1,79878,2
6804,1,81249,3
6798,1,81694,4
6797,1,82490,5
6805,1,83329,6
6803,1,83846,7
6799,1,84809,8
6815,1,85117,9
6814,1,85413,10
6802,1,85918,11
6817,1,86486,12
6796,1,87074,13
6801,1,87559,14
6816,1,88116,15
6813,1,88500,16
6812,1,89313,17
6809,1,89655,18
6800,1,90112,19
6808,1,90561,20
6794,2,77276,1
6795,2,77497,2
6804,2,78750,3
6798,2,79071,4
6797,2,79154,5
6805,2,79408,6
6803,2,79455,7
6799,2,79834,8
6815,2,79862,9
6814,2,80341,10
6802,2,80393,11
6817,2,80240,12
6796,2,80485,13
6801,2,81071,14
6816,2,80975,15
6813,2,82025,16
6809,2,81236,17
6812,2,82699,18
6800,2,82259,19
6808,2,82135,20
6794,3,77401,1
6795,3,77333,2
6804,3,78042,3
6798,3,78297,4
6797,3,78470,5
6805,3,79183,6
6803,3,79171,7
6799,3,79133,8
6815,3,79176,9
6814,3,79121,10
6802,3,79589,11
6817,3,80050,12
6796,3,80147,13
6801,3,80176,14
6816,3,80248,15
6813,3,80797,16
6809,3,80948,17
6812,3,80829,18
6800,3,81068,19
6808,3,81278,20
6794,4,77058,1
6795,4,77433,2
6804,4,78131,3
6798,4,78238,4
6797,4,78665,5
6805,4,78903,6
6803,4,79022,7
6799,4,79216,8
6815,4,79450,9
6814,4,79176,10
6802,4,79180,11
6817,4,79518,12
6796,4,80015,13
6801,4,80417,14
6816,4,80497,15
6813,4,80728,16
6809,4,80818,17
6812,4,80497,18
6800,4,80667,19
6808,4,82141,20
6794,5,76992,1
6795,5,77570,2
6804,5,77823,3
6798,5,78106,4
6797,5,78405,5
6805,5,78863,6
6803,5,79068,7
6799,5,78894,8
6814,5,78441,9
6815,5,79912,10
6802,5,79327,11
6817,5,79267,12
6796,5,79527,13
6801,5,80408,14
6816,5,80335,15
6813,5,80823,16
6809,5,80713,17
6812,5,80669,18
6800,5,80997,19
6808,5,106280,20
6794,6,77157,1
6795,6,77578,2
6804,6,77868,3
6798,6,78337,4
6797,6,78530,5
6805,6,78532,6
6803,6,78889,7
6799,6,79037,8
6814,6,78885,9
6815,6,78706,10
6802,6,79238,11
6817,6,79504,12
6796,6,79521,13
6801,6,80220,14
6816,6,80318,15
6813,6,80398,16
6809,6,81140,17
6812,6,81314,18
6800,6,80802,19
6808,6,110413,20
6794,7,77111,1
6795,7,77372,2
6804,7,78398,3
6798,7,78402,4
6797,7,78618,5
6805,7,79067,6
6803,7,78845,7
6799,7,79146,8
6814,7,79165,9
6815,7,79114,10
6802,7,79453,11
6817,7,79322,12
6796,7,79414,13
6801,7,80125,14
6816,7,80027,15
6813,7,80512,16
6809,7,80335,17
6812,7,80491,18
6800,7,81079,19
6808,7,81706,20
6794,8,77205,1
6795,8,77283,2
6804,8,78423,3
6798,8,78377,4
6797,8,78495,5
6805,8,79205,6
6803,8,79258,7
6799,8,79469,8
6814,8,79596,9
6815,8,79531,10
6802,8,79310,11
6817,8,79345,12
6796,8,79676,13
6801,8,79942,14
6816,8,80023,15
6813,8,80334,16
6809,8,80316,17
6812,8,80554,18
6800,8,80654,19
6808,8,81612,20
