sessionId,entrantId,positionOrder,positionText,laps,time
2008-12-Q1,6804,1,1,,97948
2008-12-Q1,6817,2,2,,98141
2008-12-Q1,6795,3,3,,98176
2008-12-Q1,6798,4,4,,98268
2008-12-Q1,6797,5,5,,98347
2008-12-Q1,6814,6,6,,98464
2008-12-Q1,6805,7,7,,98532
2008-12-Q1,6803,8,8,,98559
2008-12-Q1,6800,9,9,,98595
2008-12-Q1,6816,10,10,,98622
2008-12-Q1,6815,11,11,,98656
2008-12-Q1,6801,12,12,,98667
2008-12-Q1,6794,13,13,,98703
2008-12-Q1,6796,14,14,,98738
2008-12-Q1,6799,15,15,,98787
2008-12-Q1,6808,16,16,6,98880
2008-12-Q1,6802,17,17,9,99235
2008-12-Q1,6813,18,18,10,99268
2008-12-Q1,6809,19,19,10,99811
2008-12-Q1,6812,20,20,9,99943
