sessionId,entrantId,positionOrder,positionText,laps,time
2008-16-Q1,6805,1,1,,77945
2008-16-Q1,6814,2,2,,78071
2008-16-Q1,6795,3,3,,78110
2008-16-Q1,6794,4,4,,78160
2008-16-Q1,6815,5,5,,78220
2008-16-Q1,6798,6,6,,78290
2008-16-Q1,6799,7,7,,78300
2008-16-Q1,6802,8,8,,78303
2008-16-Q1,6803,9,9,,78372
2008-16-Q1,6804,10,10,,78501
2008-16-Q1,6817,11,11,,78559
2008-16-Q1,6816,12,12,,78593
2008-16-Q1,6801,13,13,,78640
2008-16-Q1,6797,14,14,,78684
2008-16-Q1,6800,15,15,,78740
2008-16-Q1,6796,16,16,9,78835
2008-16-Q1,6809,17,17,9,78882
2008-16-Q1,6808,18,18,11,79100
2008-16-Q1,6812,19,19,10,79163
2008-16-Q1,6813,20,20,10,79910
