sessionId,entrantId,positionOrder,positionText,laps,time
2008-17-Q1,6814,1,1,,95566
2008-17-Q1,6815,2,2,,95623
2008-17-Q1,6817,3,3,,95752
2008-17-Q1,6798,4,4,,95769
2008-17-Q1,6795,5,5,,95971
2008-17-Q1,6794,6,6,,95983
2008-17-Q1,6799,7,7,,96029
2008-17-Q1,6804,8,8,,96104
2008-17-Q1,6805,9,9,,96210
2008-17-Q1,6796,10,10,,96224
2008-17-Q1,6803,11,11,,96238
2008-17-Q1,6816,12,12,,96239
2008-17-Q1,6800,13,13,,96434
2008-17-Q1,6797,14,14,,96503
2008-17-Q1,6809,15,15,,96640
2008-17-Q1,6802,16,16,7,96731
2008-17-Q1,6801,17,17,9,96863
2008-17-Q1,6808,18,18,9,97053
2008-17-Q1,6812,19,19,9,97730
2008-17-Q1,6813,20,20,9,97739
