entrantId,lap,time,timeOfDay,annotation
6813,2,29588,15:17:11,
6800,7,28550,15:25:11,
6808,7,27862,15:25:12,
6816,8,26686,15:26:26,
6805,8,26160,15:26:27,
6812,8,29524,15:26:36,
6801,8,28506,15:26:38,
6817,9,26102,15:27:42,
6798,9,27658,15:27:43,
6803,9,28788,15:27:50,
6809,9,28097,15:27:56,
6795,10,27656,15:28:58,
6815,10,32527,15:29:10,
6796,10,27881,15:29:10,
6797,10,27758,15:29:25,
6804,11,31122,15:30:20,
6794,11,28870,15:30:21,
6814,11,28319,15:30:23,
6817,27,27515,15:50:56,
6808,33,26923,15:59:14,
6805,36,35238,16:02:26,
6795,38,30501,16:04:31,
6813,38,54619,16:05:23,
6816,38,29832,16:05:32,
6798,40,29889,16:07:07,
6814,40,29242,16:07:22,
6809,40,28881,16:08:00,
6800,41,29423,16:09:18,
6815,42,29264,16:10:08,
6796,42,28848,16:10:25,
6794,43,29436,16:11:03,
6804,43,29829,16:11:38,
6812,44,30623,16:13:41,
6797,46,27007,16:16:11,
6803,48,27655,16:17:59,
6817,51,26626,16:21:17,
6801,51,26843,16:22:46,
6808,56,27450,16:28:35,
6801,62,26618,16:37:16,
6813,63,46539,16:38:24,
6796,64,27306,16:38:40,
6809,64,28097,16:38:54,
6800,64,26862,16:38:59,
6816,64,28249,16:39:01,
6797,64,26379,16:39:11,
6812,64,27733,16:39:46,
6815,65,27229,16:39:29,
6803,65,28771,16:39:53,
6808,65,27056,16:40:19,
6798,66,26672,16:40:11,
6794,66,26498,16:40:12,
6814,66,26483,16:40:32,
6817,66,26810,16:40:33,
6795,67,27234,16:41:17,
6809,67,28370,16:43:49,
