entrantId,lap,time,timeOfDay,annotation
6824,12,22971,14:19:46,
6824,13,30331,14:22:17,
6823,18,24214,14:28:40,
6830,19,27066,14:29:34,
6821,19,24676,14:29:36,
6818,20,26484,14:30:51,
6832,20,26933,14:31:03,
6819,21,23314,14:32:33,
6831,21,27069,14:32:34,
6822,21,25079,14:32:57,
6833,22,26018,14:34:10,
6825,23,24538,14:35:36,
6836,25,25180,14:38:22,
6829,26,24414,14:40:09,
6831,27,43121,14:41:38,
6826,28,24670,14:42:35,
6838,28,24660,14:43:06,
6835,29,22871,14:44:27,
6827,32,24001,14:48:14,
6837,33,24245,14:49:56,
6829,38,23251,14:57:41,
6819,44,24429,15:05:09,
6821,45,28191,15:06:15,
6818,46,24378,15:07:28,
6835,47,24399,15:10:00,
6825,48,23771,15:11:15,
6832,49,23177,15:12:07,
6823,49,22716,15:12:41,
6830,50,23902,15:13:29,
6822,52,23174,15:16:56,
6838,52,22943,15:17:19,
6836,55,22203,15:20:59,
6833,56,22998,15:22:23,
6837,57,21878,15:23:53,
6826,58,23170,15:25:11,
6827,60,21367,15:27:40,
