entrantId,positionOrder,positionText,time,gridPosition,gridPenalty,laps,points,pointsCountForWDC,pointsGained,gap,timePenalty,reasonRetired
6837,1,1,5751289,3,,57,10,1,10,,,
6818,2,2,5753647,1,,57,8,1,8,2358,,
6821,3,3,5767283,6,,57,6,1,6,15994,,
6819,4,4,5771321,2,,57,5,1,5,20032,,
6832,5,5,5772159,7,,57,4,1,4,20870,,
6824,6,6,5779033,8,,57,3,1,3,27744,,
6836,7,7,5786202,5,,57,2,1,2,34913,,
6822,8,8,5787956,10,,57,1,1,1,36667,,
6830,9,9,5796199,9,,57,0,1,0,44910,,
6834,10,10,5799224,12,,57,0,1,0,47935,,
6823,11,11,5800111,11,,57,0,1,0,48822,,
6835,12,12,5814903,16,,57,0,1,0,"01:03,61",,
6826,13,13,5815816,18,,57,0,1,0,"01:04,53",,
6827,14,14,5837808,13,,57,0,1,0,"01:26,52",,
6840,15,15,5843063,14,,57,0,1,0,"01:31,77",,
6838,16,16,,19,,56,0,1,0,+1 lap,,
6839,17,17,,20,,56,0,1,0,+1 lap,,
6833,18,18,,17,,54,0,1,0,,,Tyre
6829,19,DNF,,15,,41,0,1,0,,,Brakes
6831,20,DNF,,4,,23,0,1,0,,,Engine
