sessionId,entrantId,positionOrder,positionText,laps,time
2010-07-Q1,6851,1,1,,87067
2010-07-Q1,6852,2,2,,87500
2010-07-Q1,6847,3,3,,87555
2010-07-Q1,6858,4,4,,87620
2010-07-Q1,6850,5,5,,87649
2010-07-Q1,6848,6,6,,87667
2010-07-Q1,6849,7,7,,87756
2010-07-Q1,6857,8,8,,87766
2010-07-Q1,6854,9,9,,87857
2010-07-Q1,6859,10,10,,87951
2010-07-Q1,6853,11,11,,87993
2010-07-Q1,6867,12,12,,88147
2010-07-Q1,6868,13,13,,88158
2010-07-Q1,6856,14,14,,88227
2010-07-Q1,6855,15,15,,88336
2010-07-Q1,6862,16,16,,88460
2010-07-Q1,6861,17,17,,88534
2010-07-Q1,6860,18,18,8,88958
2010-07-Q1,6863,19,19,13,90237
2010-07-Q1,6864,20,20,11,90519
2010-07-Q1,6869,21,21,9,90744
2010-07-Q1,6866,22,22,9,91266
2010-07-Q1,6870,23,23,9,91989
2010-07-Q1,6865,24,24,10,92060
