entrantId,positionOrder,positionText,laps,time
6851,1,1,18,75103
6854,2,2,21,75387
6852,3,3,16,75708
6853,4,4,20,75854
6850,5,5,20,76046
6848,6,6,13,76207
6849,7,7,16,76473
6855,8,8,23,76481
6857,9,9,20,76646
6856,10,10,17,76743
6868,11,11,19,76882
6861,12,12,21,76990
6847,13,13,15,77037
6858,14,14,20,77148
6867,15,15,19,77220
6862,16,16,21,77341
6860,17,17,22,77538
6864,18,18,11,79193
6863,19,19,10,79607
6866,20,20,9,80533
6878,21,21,14,81538
6870,22,22,10,83444
6869,23,23,7,83873
6859,24,24,2,
