entrantId,positionOrder,positionText,laps,time
6851,1,1,29,80976
6852,2,2,27,81106
6857,3,3,21,82072
6847,4,4,17,82444
6855,5,5,25,82601
6867,6,6,24,82764
6854,7,7,25,82772
6850,8,8,25,82777
6849,9,9,26,82792
6856,10,10,25,82966
6859,11,11,19,83003
6853,12,12,26,83007
6858,13,13,24,83249
6868,14,14,23,83327
6872,15,15,19,83520
6861,16,16,22,83780
6862,17,17,28,83868
6848,18,18,15,84075
6863,19,19,22,85032
6864,20,20,23,85210
6869,21,21,21,85990
6870,22,22,17,86686
6866,23,23,34,86990
6878,24,24,24,88157
