entrantId,positionOrder,positionText,laps,time
6851,1,1,15,108028
6854,2,2,16,108650
6848,3,3,12,109000
6853,4,4,18,109023
6850,5,5,17,109056
6852,6,6,13,109212
6856,7,7,17,109304
6857,8,8,16,109520
6859,9,9,15,109916
6861,10,10,16,109949
6858,11,11,15,110040
6855,12,12,16,110053
6847,13,13,12,110060
6862,14,14,16,110067
6849,15,15,14,110067
6860,16,16,16,110868
6880,17,17,15,111016
6868,18,18,17,111027
6869,19,19,14,112340
6864,20,20,15,113146
6870,21,21,15,113297
6863,22,22,17,113681
6879,23,23,16,114826
6866,24,24,16,115367
