entrantId,positionOrder,positionText,laps,time
6848,1,1,25,100888
6851,2,2,28,101145
6854,3,3,29,101314
6852,4,4,29,101315
6857,5,5,31,101576
6853,6,6,21,101583
6858,7,7,31,102096
6847,8,8,28,102132
6860,9,9,31,102203
6850,10,10,29,102222
6849,11,11,29,102246
6856,12,12,32,102449
6859,13,13,21,102535
6868,14,14,26,102768
6855,15,15,37,102914
6880,16,16,34,102950
6862,17,17,17,103128
6861,18,18,33,103584
6864,19,19,36,105180
6869,20,20,31,105259
6863,21,21,35,105612
6870,22,22,29,106053
6879,23,23,32,107210
6866,24,24,28,107434
