sessionId,entrantId,positionOrder,positionText,laps,time
2010-19-Q2,6851,1,1,,99874
2010-19-Q2,6847,2,2,,100014
2010-19-Q2,6850,3,3,,100060
2010-19-Q2,6852,4,4,,100074
2010-19-Q2,6848,5,5,,100119
2010-19-Q2,6854,6,6,,100311
2010-19-Q2,6853,7,7,,100323
2010-19-Q2,6849,8,8,,100452
2010-19-Q2,6855,9,9,,100476
2010-19-Q2,6858,10,10,,100658
2010-19-Q2,6857,11,11,,100780
2010-19-Q2,6868,12,12,,100783
2010-19-Q2,6859,13,13,,100914
2010-19-Q2,6880,14,14,,101113
2010-19-Q2,6856,15,15,,101418
2010-19-Q2,6860,16,16,,101642
2010-19-Q2,6862,17,17,,101738
