entrantId,lap,time,pos
6882,1,95269,1
6889,1,96559,2
6883,1,97199,3
6886,1,97580,4
6885,1,98351,5
6884,1,98852,6
6888,1,99759,7
6891,1,100330,8
6890,1,100734,9
6887,1,100887,10
6892,1,101611,11
6894,1,102105,12
6895,1,102477,13
6893,1,103213,14
6902,1,103531,15
6899,1,104233,16
6904,1,104673,17
6897,1,105550,18
6906,1,105976,19
6900,1,106090,20
6905,1,106690,21
6908,1,106951,22
6898,1,120462,23
6882,2,94082,1
6889,2,94608,2
6883,2,94523,3
6886,2,95062,4
6885,2,95219,5
6884,2,95201,6
6887,2,95441,7
6888,2,97601,8
6891,2,97306,9
6890,2,97163,10
6892,2,96361,11
6894,2,96565,12
6895,2,96665,13
6893,2,96768,14
6899,2,96263,15
6902,2,97370,16
6904,2,97045,17
6897,2,96807,18
6900,2,96903,19
6906,2,99047,20
6905,2,99052,21
6908,2,99264,22
6898,2,119982,23
6882,3,93768,1
6889,3,94412,2
6883,3,94472,3
6886,3,94667,4
6885,3,95133,5
6884,3,95117,6
6887,3,94398,7
6891,3,95448,8
6892,3,95769,9
6890,3,96263,10
6894,3,96443,11
6895,3,96266,12
6899,3,95936,13
6893,3,96956,14
6902,3,96520,15
6897,3,95881,16
6904,3,97043,17
6900,3,96347,18
6906,3,98347,19
6908,3,98380,20
6905,3,99232,21
6888,3,119115,22
6898,3,94654,23
6882,4,93827,1
6889,4,94348,2
6883,4,94278,3
6886,4,94161,4
6885,4,94960,5
6884,4,94858,6
6887,4,94599,7
6891,4,94681,8
6892,4,95221,9
6890,4,95227,10
6894,4,95604,11
6895,4,95739,12
6899,4,95377,13
6893,4,96086,14
6897,4,95772,15
6902,4,96825,16
6900,4,96097,17
6904,4,97006,18
6906,4,97868,19
6908,4,97518,20
6905,4,99116,21
6888,4,94122,22
6898,4,94803,23
6882,5,93762,1
6883,5,94696,2
6889,5,95428,3
6886,5,94313,4
6885,5,94443,5
6884,5,94554,6
6887,5,94539,7
6891,5,94877,8
6892,5,95391,9
6890,5,95351,10
6894,5,95437,11
6895,5,95457,12
6899,5,95746,13
6893,5,95902,14
6897,5,95371,15
6900,5,96010,16
6902,5,97346,17
6904,5,96454,18
6906,5,97740,19
6908,5,97364,20
6905,5,97879,21
6888,5,94505,22
6898,5,94574,23
6882,6,93801,1
6883,6,94064,2
6889,6,95776,3
6886,6,95507,4
6885,6,95183,5
6884,6,94785,6
6887,6,94508,7
6891,6,94802,8
6890,6,94976,9
6892,6,95847,10
6894,6,95222,11
6899,6,94991,12
6895,6,96091,13
6897,6,95800,14
6893,6,96747,15
6900,6,95604,16
6902,6,96237,17
6904,6,96389,18
6906,6,98143,19
6908,6,97853,20
6888,6,94817,21
6905,6,99298,22
6898,6,94232,23
6882,7,93821,1
6883,7,94509,2
6886,7,94554,3
6889,7,95299,4
6884,7,95175,5
6885,7,95415,6
6887,7,95118,7
6891,7,95765,8
6890,7,94566,9
6892,7,95703,10
6894,7,95800,11
6899,7,95924,12
6895,7,96214,13
6897,7,95454,14
6893,7,96610,15
6900,7,95822,16
6902,7,95993,17
6904,7,96078,18
6888,7,95072,19
6906,7,98192,20
6908,7,98381,21
6905,7,98171,22
6898,7,94661,23
6882,8,93853,1
6883,8,94093,2
6886,8,94021,3
6889,8,95664,4
6885,8,94872,5
6884,8,95619,6
6887,8,95094,7
6891,8,95277,8
6890,8,94582,9
6892,8,95472,10
6894,8,95718,11
6899,8,95599,12
6895,8,95763,13
6897,8,95101,14
6893,8,96230,15
6900,8,97177,16
6902,8,96413,17
6904,8,96393,18
6888,8,94908,19
6906,8,98311,20
6908,8,98142,21
6905,8,97483,22
6898,8,94634,23
6882,9,94201,1
6883,9,94312,2
