entrantId,lap,time,timeOfDay,annotation
6897,1,24871,14:05:11,
6898,7,23592,14:14:14,
6893,8,22689,14:15:48,
6882,9,20253,14:16:54,
6899,9,20818,14:17:17,
6886,10,20567,14:18:23,
6883,10,20881,14:18:27,
6888,10,20084,14:18:43,
6884,11,19761,14:19:57,
6891,11,21856,14:20:14,
6889,11,20647,14:20:17,
6887,11,20800,14:20:19,
6900,11,20741,14:20:28,
6892,11,29936,14:20:48,
6894,13,20773,14:23:57,
6885,14,20015,14:24:51,
6905,14,24843,14:25:56,
6895,15,20070,14:26:40,
6904,15,22364,14:26:50,
6902,16,21019,14:28:30,
6906,16,23157,14:28:55,
6907,16,22744,14:29:00,
6908,17,23176,14:30:41,
6882,18,19887,14:30:44,
6886,19,20238,14:32:13,
6883,19,20079,14:32:16,
6893,20,24821,14:34:36,
6887,21,21635,14:35:51,
6890,21,21322,14:36:21,
6884,23,20235,14:38:08,
6892,23,21226,14:39:40,
6900,24,20872,14:40:47,
6899,25,24745,14:42:10,
6897,25,21128,14:42:46,
6888,26,20487,14:43:25,
6891,26,24232,14:43:33,
6889,27,19534,14:45:01,
6902,28,20807,14:47:28,
6905,28,24448,14:48:52,
6886,29,20738,14:47:26,
6883,29,20279,14:47:27,
6898,29,21143,14:48:40,
6904,29,21723,14:48:41,
6885,30,20763,14:49:06,
6894,30,20267,14:50:19,
6895,32,20126,14:53:02,
6882,34,20426,14:54:42,
6908,34,22982,14:58:05,
6884,35,20473,14:56:14,
6892,35,20650,14:58:09,
6887,36,22419,14:58:48,
6893,36,21574,14:59:14,
6890,36,21953,14:59:22,
6900,36,21019,14:59:25,
6907,38,21632,15:03:54,
6886,39,20380,15:02:54,
6888,41,20451,15:06:21,
6891,41,21739,15:06:36,
6902,41,23068,15:07:42,
6889,42,20395,15:07:53,
6899,42,20819,15:08:31,
6904,43,23001,15:10:27,
6897,44,20500,15:11:40,
6883,47,19984,15:14:50,
6898,47,21829,15:16:00,
6905,47,24298,15:19:38,
6882,48,20292,15:15:41,
6885,48,20107,15:16:10,
6894,48,23230,15:17:54,
6884,49,20988,15:17:11,
6908,49,21708,15:21:44,
6890,50,20796,15:20:32,
6900,50,23143,15:21:09,
6895,51,20573,15:22:03,
6893,53,22077,15:25:26,
6907,53,21170,15:27:29,
6892,54,20637,15:27:32,
