entrantId,lap,time,timeOfDay,annotation
6907,1,35092,14:05:58,
6921,1,30795,14:06:10,
6902,1,28539,14:06:14,
6883,3,21015,14:09:42,
6885,3,26046,14:09:46,
6888,4,20153,14:11:45,
6882,5,20898,14:13:27,
6898,5,26092,14:13:49,
6907,6,13914,14:16:35,
6915,8,20994,14:19:18,
6921,8,13968,14:20:14,Drive-through
6916,9,22267,14:21:21,
6884,10,21895,14:23:14,
6889,11,23090,14:25:16,
6906,11,21766,14:26:05,
6891,12,21395,14:27:22,
6893,12,21421,14:27:31,
6882,13,21411,14:29:09,
6894,13,22773,14:29:31,
6892,13,21818,14:29:38,
6888,13,20226,14:29:39,
6885,13,21756,14:29:40,
6917,13,23780,14:30:19,
6904,13,22159,14:30:20,
6908,13,22939,14:30:22,
6902,13,22009,14:30:46,
6897,14,24161,14:32:10,
6895,14,21334,14:32:11,
6907,14,24204,14:33:40,
6921,21,20756,14:47:48,
6898,22,14089,14:49:35,Drive-through
6898,23,23883,14:51:40,
6906,27,30959,14:59:56,
6915,29,21243,15:02:28,
6893,29,22303,15:03:01,
6897,29,21269,15:03:08,
6882,30,20786,15:04:14,
6889,30,21171,15:04:42,
6916,30,21856,15:04:43,
6891,30,21979,15:04:45,
6895,30,21350,15:05:01,
6883,31,20947,15:06:19,
6894,31,20983,15:06:38,
6888,31,21319,15:06:39,
6892,31,21478,15:06:56,
6904,31,21484,15:07:16,
6885,32,21640,15:08:15,
6916,32,21485,15:08:49,
6902,33,22306,15:11:16,
6907,35,21721,15:15:37,
6908,36,22114,15:17:29,
6892,40,47753,15:24:23,
