entrantId,lap,time,timeOfDay,annotation
6917,1,44170,20:06:48,
6889,9,29549,20:21:25,
6915,10,30621,20:23:15,
6888,10,29610,20:23:27,
6921,10,35398,20:23:47,
6916,11,30290,20:25:14,
6884,11,30142,20:25:15,
6894,11,30718,20:25:25,
6893,11,30888,20:25:39,
6899,11,32827,20:25:50,
6902,11,32202,20:25:56,
6921,11,36856,20:26:39,
6883,12,30462,20:27:10,
6892,12,30456,20:27:40,
6916,12,32351,20:28:04,
6884,13,33456,20:29:39,
6906,13,34329,20:30:31,
6882,14,30023,20:30:38,
6885,14,30169,20:30:49,
6898,15,30810,20:33:28,
6884,15,24342,20:34:04,Drive-through
6917,15,34782,20:36:19,
6897,16,30464,20:35:49,
6904,16,31048,20:36:05,
6891,16,30807,20:36:09,
6908,16,31763,20:36:22,
6900,17,30948,20:38:05,
6895,19,30704,20:41:08,
6904,19,33317,20:43:14,
6889,22,29417,20:47:06,
6888,24,29473,20:51:04,
6916,24,30478,20:51:44,
6900,24,24299,20:52:14,Drive-through
6915,25,30387,20:52:35,
6893,25,30187,20:53:37,
6902,26,31621,20:56:11,
6906,26,32122,20:57:30,
6917,27,33058,21:01:25,
6908,28,31592,21:00:59,
6921,28,30832,21:01:27,
6883,29,31204,21:00:16,
6895,29,29764,21:01:05,
6894,29,33418,21:01:11,
6889,29,30261,21:01:12,
6898,29,33344,21:01:17,
6884,29,30706,21:01:31,
6897,29,31602,21:01:59,
6891,29,30625,21:02:43,
6882,30,30809,21:01:48,
6885,30,29921,21:02:11,
6892,30,30544,21:04:10,
6899,31,31394,21:06:25,
6900,35,31836,21:16:28,
6897,40,24715,21:25:43,Drive-through
6916,41,30983,21:26:06,
6904,44,31168,21:36:23,
6893,45,30477,21:33:51,
6906,45,31687,21:38:30,
6906,46,42920,21:41:47,
6883,47,30413,21:36:42,
6902,47,31207,21:40:09,
6891,47,30485,21:40:13,
6885,48,30305,21:38:31,
6884,48,29876,21:39:06,
6921,48,30987,21:42:01,
6882,49,30796,21:40:10,
6915,49,29972,21:40:46,
6899,49,32739,21:41:40,
6897,53,30869,21:51:26,
