entrantId,positionOrder,positionText,laps,time
6884,1,1,22,86836
6882,2,2,23,87416
6883,3,3,27,87428
6885,4,4,23,88394
6888,5,5,23,88531
6889,6,6,29,88542
6916,7,7,22,88644
6894,8,8,23,88705
6899,9,9,24,89219
6897,10,10,29,89355
6895,11,11,24,89700
6891,12,12,22,89705
6921,13,13,20,89799
6898,14,14,25,90132
6892,15,15,21,90367
6900,16,16,19,90566
6893,17,17,22,90669
6904,18,18,22,90818
6913,19,19,24,92487
6907,20,20,24,92771
6923,21,21,27,93928
6905,22,22,30,94113
6908,23,23,19,95796
6915,24,24,4,95899
