entrantId,lap,time,timeOfDay,annotation
6898,1,22676,15:05:16,
6907,1,27378,15:05:23,
6892,1,33650,15:05:36,
6904,1,40734,15:06:37,
6895,2,21525,15:06:50,
6891,3,27137,15:08:27,
6894,15,21424,15:27:09,
6883,16,21392,15:28:08,
6915,16,21873,15:28:09,
6884,16,22530,15:28:14,
6900,16,22856,15:28:37,
6916,17,21848,15:29:43,
6889,17,21149,15:29:56,
6885,18,21092,15:31:05,
6888,18,20893,15:31:35,
6899,18,22579,15:31:43,
6882,19,21415,15:32:31,
6895,19,24150,15:33:45,
6902,21,22226,15:36:36,
6921,22,22144,15:38:07,
6905,22,24046,15:38:47,
6908,22,22687,15:38:52,
6884,24,27193,15:40:48,
6923,25,25074,15:43:17,
6904,27,22894,15:49:31,
6916,30,14919,15:49:55,Drive-through
6916,31,27619,15:51:40,
6923,32,42529,15:54:51,
6891,33,22519,15:55:13,
6898,34,24789,15:56:37,
6894,35,21977,15:58:06,
6892,35,22339,15:59:21,
6883,37,21240,16:00:03,
6915,39,21755,16:03:03,
6895,39,20984,16:04:47,
6902,41,22001,16:07:49,
6889,45,22978,16:12:29,
6884,45,22172,16:12:44,
6885,46,21838,16:13:11,
6900,46,23084,16:14:27,
6882,47,21449,16:14:36,
6888,50,21482,16:19:55,
6905,50,23605,16:23:00,
6904,54,24150,16:32:20,
6908,55,22472,16:30:49,
6921,56,21723,16:30:01,
6923,56,28474,16:32:48,
