sessionId,entrantId,positionOrder,positionText,laps,time
2011-19-FP3,6882,1,1,21,72460
2011-19-FP3,6885,2,2,19,72547
2011-19-FP3,6883,3,3,21,72597
2011-19-FP3,6884,4,4,15,72622
2011-19-FP3,6915,5,5,17,72765
2011-19-FP3,6894,6,6,22,73113
2011-19-FP3,6889,7,7,21,73286
2011-19-FP3,6888,8,8,19,73393
2011-19-FP3,6895,9,9,19,73419
2011-19-FP3,6916,10,10,18,73583
2011-19-FP3,6891,11,11,20,73838
2011-19-FP3,6892,12,12,19,74283
2011-19-FP3,6900,13,13,20,74286
2011-19-FP3,6897,14,14,24,74311
2011-19-FP3,6893,15,15,22,74454
2011-19-FP3,6898,16,16,24,74547
2011-19-FP3,6921,17,17,15,74551
2011-19-FP3,6904,18,18,24,75843
2011-19-FP3,6902,19,19,22,76026
2011-19-FP3,6908,20,20,26,76616
2011-19-FP3,6906,21,21,23,77143
2011-19-FP3,6917,22,22,23,77296
2011-19-FP3,6907,23,23,23,77984
2011-19-FP3,6899,24,24,3,
