entrantId,positionOrder,positionText,laps,time
6932,1,1,19,98021
6929,2,2,21,98535
6936,3,3,21,98813
6935,4,4,19,98826
6938,5,5,17,98919
6930,6,6,20,99092
6937,7,7,22,99128
6939,8,8,23,99298
6931,9,9,15,99323
6940,10,10,19,99440
6953,11,11,23,99724
6945,12,12,23,99783
6934,13,13,16,99896
6941,14,14,21,99910
6933,15,15,23,99980
6944,16,16,23,100099
6947,17,17,19,100247
6943,18,18,23,100469
6948,19,19,25,100857
6942,20,20,23,101085
6951,21,21,18,103170
6952,22,22,14,104580
6950,23,23,8,105360
6949,24,24,18,105528
