sessionId,entrantId,positionOrder,positionText,laps,time
2012-02-Q1,6930,1,1,,97172
2012-02-Q1,6935,2,2,,97517
2012-02-Q1,6931,3,3,,97575
2012-02-Q1,6936,4,4,,97696
2012-02-Q1,6945,5,5,,97789
2012-02-Q1,6932,6,6,,97813
2012-02-Q1,6942,7,7,,97933
2012-02-Q1,6937,8,8,,97961
2012-02-Q1,6938,9,9,,98058
2012-02-Q1,6929,10,10,,98102
2012-02-Q1,6933,11,11,,98151
2012-02-Q1,6940,12,12,,98303
2012-02-Q1,6939,13,13,,98325
2012-02-Q1,6941,14,14,,98372
2012-02-Q1,6934,15,15,,98381
2012-02-Q1,6943,16,16,,98419
2012-02-Q1,6946,17,17,,98437
2012-02-Q1,6944,18,18,7,99077
2012-02-Q1,6947,19,19,9,99306
2012-02-Q1,6948,20,20,6,99567
2012-02-Q1,6951,21,21,8,100903
2012-02-Q1,6952,22,22,8,101250
2012-02-Q1,6949,23,23,4,102914
2012-02-Q1,6950,24,24,6,103655
