entrantId,positionOrder,positionText,time,gridPosition,gridPenalty,laps,points,pointsCountForWDC,pointsGained,timePenalty,reasonRetired
6936,1,1,5786929,1,,56,25,1,25,,
6931,2,2,5807555,5,,56,18,1,18,,
6932,3,3,5812941,7,5,56,15,1,15,,
6930,4,4,5814853,6,,56,12,1,12,,
6929,5,5,5817412,11,,56,10,1,10,,
6938,6,6,5818420,10,,56,8,1,8,,
6946,7,7,5821526,14,,56,6,1,6,,
6945,8,8,5822572,13,,56,4,1,4,,
6933,9,9,5824185,9,,56,2,1,2,,
6941,10,10,5825649,3,,56,1,1,1,,
6942,11,11,5827995,8,,56,0,1,0,,
6939,12,12,5829202,15,,56,0,1,0,,
6934,13,13,5829708,12,,56,0,1,0,,
6937,14,14,5837502,4,,56,0,1,0,,
6940,15,15,5838142,16,,56,0,1,0,,
6944,16,16,5838685,PL,,56,0,1,0,,
6943,17,17,5850085,17,,56,0,1,0,,
6948,18,18,,19,,55,0,1,0,,
6951,19,19,,20,,55,0,1,0,,
6952,20,20,,21,,55,0,1,0,,
6949,21,21,,22,,55,0,1,0,,
6950,22,22,,23,,54,0,1,0,,
6947,23,23,,18,,53,0,1,0,,
6935,24,DNF,,2,,12,0,1,0,,Wheel
