entrantId,positionOrder,positionText,laps,time
6932,1,1,30,75564
6929,2,2,29,75682
6936,3,3,30,75782
6933,4,4,34,75842
6930,5,5,28,75897
6940,6,6,29,75986
6941,7,7,31,76000
6942,8,8,32,76249
6935,9,9,28,76264
6931,10,10,12,76347
6939,11,11,32,76460
6934,12,12,17,76619
6945,13,13,26,76859
6938,14,14,36,76890
6937,15,15,42,77014
6944,16,16,28,77352
6943,17,17,31,77580
6948,18,18,23,77935
6947,19,19,16,78177
6949,20,20,26,78182
6946,21,21,36,78762
6950,22,22,23,79354
6951,23,23,21,80004
6952,24,24,23,80067
