sessionId,entrantId,positionOrder,positionText,time,gridPosition,gridPenalty,laps,points,pointsCountForWDC,pointsGained,gap,timePenalty,reasonRetired
2012-08-R,6933,1,1,6256649,11,,57,25,1,25,,,
2012-08-R,6937,2,2,6263070,5,,57,18,1,18,6421,,
2012-08-R,6935,3,3,6269288,12,,57,15,1,15,12639,,
2012-08-R,6930,4,4,6270277,19,,57,12,1,12,13628,,
2012-08-R,6940,5,5,6276642,8,,57,10,1,10,19993,,
2012-08-R,6936,6,6,6277825,6,,57,8,1,8,21176,,
2012-08-R,6939,7,7,6279515,10,,57,6,1,6,22866,,
2012-08-R,6931,8,8,6281302,9,,57,4,1,4,24653,,
2012-08-R,6942,9,9,6284426,15,,57,2,1,2,27777,,
2012-08-R,6946,10,10,6292610,14,,57,1,1,1,35961,,
2012-08-R,6943,11,11,6293690,17,,57,0,1,0,37041,,
2012-08-R,6945,12,12,6311279,3,,57,0,1,0,54630,20000,
2012-08-R,6948,13,13,6332520,20,,57,0,1,0,"01:15,87",,
2012-08-R,6947,14,14,6351303,16,,57,0,1,0,"01:34,65",,
2012-08-R,6952,15,15,6353200,23,,57,0,1,0,"01:36,55",,
2012-08-R,6934,16,16,,13,,56,0,1,0,+1 lap,,
2012-08-R,6949,17,17,,21,,56,0,1,0,+1 lap,,
2012-08-R,6950,18,18,,22,,56,0,1,0,+1 lap,,
2012-08-R,6932,19,19,,2,,55,0,1,0,,,Collision
2012-08-R,6938,20,DNF,,4,,40,0,1,0,,,Alternator
2012-08-R,6929,21,DNF,,1,,33,0,1,0,,,Alternator
2012-08-R,6941,22,DNF,,7,,33,0,1,0,,,Collision damage
2012-08-R,6944,23,DNF,,18,,26,0,1,0,,,Collision damage
