entrantId,positionOrder,positionText,laps,time
6932,1,1,32,85290
6931,2,2,35,85328
6933,3,3,17,85348
6934,4,4,43,85430
6936,5,5,41,85446
6937,6,6,42,85504
6939,7,7,40,85546
6940,8,8,36,85547
6942,9,9,32,86068
6935,10,10,38,86094
6930,11,11,35,86104
6959,12,12,36,86157
6929,13,13,31,86394
6945,14,14,42,86404
6943,15,15,33,86724
6941,16,16,17,86730
6946,17,17,39,86783
6947,18,18,39,86841
6944,19,19,36,86864
6948,20,20,36,87222
6951,21,21,36,87944
6952,22,22,36,87968
6949,23,23,34,88575
6950,24,24,21,88779
