entrantId,positionOrder,positionText,laps,time
6932,1,1,35,74026
6929,2,2,40,74300
6930,3,3,37,74523
6934,4,4,37,74553
6933,5,5,37,74592
6935,6,6,36,74654
6936,7,7,40,74669
6931,8,8,40,74863
6938,9,9,37,74994
6939,10,10,39,75129
6940,11,11,40,75131
6937,12,12,39,75371
6946,13,13,45,75432
6942,14,14,35,75542
6941,15,15,43,75839
6943,16,16,39,75902
6945,17,17,47,75953
6944,18,18,40,76048
6948,19,19,39,76126
6947,20,20,42,76655
6949,21,21,15,77244
6951,22,22,42,77675
6952,23,23,31,78127
6950,24,24,15,78139
