entrantId,positionOrder,positionText,time,gridPosition,gridPenalty,laps,points,pointsCountForWDC,pointsGained,timePenalty,reasonRetired
6964,1,1,5760498,2,,57,25,1,25,,
6970,2,2,5769609,8,,57,18,1,18,,
6971,3,3,5780005,11,,57,15,1,15,,
6976,4,4,5782225,5,,57,12,1,12,,
6973,5,5,5795728,9,5,57,10,1,10,,
6969,6,6,5796496,12,,57,8,1,8,,
6965,7,7,5797742,7,3,57,6,1,6,,
6966,8,8,5798072,3,,57,4,1,4,,
6972,9,9,5801624,1,,57,2,1,2,,
6968,10,10,5807129,10,,57,1,1,1,,
6978,11,11,5826948,17,,57,0,1,0,,
6974,12,12,5833431,14,,57,0,1,0,,
6977,13,13,5837217,6,,57,0,1,0,,
6979,14,14,5842009,15,,57,0,1,0,,
6967,15,15,5846862,4,,57,0,1,0,,
6981,16,16,,13,,56,0,1,0,,
6982,17,17,,18,,56,0,1,0,,
6975,18,18,,22,5,56,0,1,0,,
6984,19,19,,19,,56,0,1,0,,
6985,20,20,,21,,56,0,1,0,,
6983,21,21,,20,,55,0,1,0,,
6980,22,DNF,,16,,16,0,1,0,,Puncture damage
