entrantId,positionOrder,positionText,time,gridPosition,gridPenalty,laps,points,pointsCountForWDC,pointsGained,timePenalty,reasonRetired
6973,1,1,6149445,1,,70,25,1,25,,
6970,2,2,6160383,6,,70,18,1,18,,
6964,3,3,6161904,2,,70,15,1,15,,
6965,4,4,6167489,10,,70,12,1,12,,
6966,5,5,6180856,5,,70,10,1,10,,
6971,6,6,6201740,3,,70,8,1,8,20000,
6968,7,7,6203264,13,,70,6,1,6,,
6967,8,8,6205892,7,,70,4,1,4,,
6969,9,9,,9,,69,2,1,2,,
6978,10,10,,15,,69,1,1,1,,
6974,11,11,,12,,69,0,1,0,,
6980,12,12,,14,,69,0,1,0,,
6981,13,13,,8,,69,0,1,0,,
6983,14,14,,20,,68,0,1,0,,
6982,15,15,,19,,68,0,1,0,,
6984,16,16,,21,,67,0,1,0,,
6985,17,17,,22,,67,0,1,0,,
6976,18,18,,18,,66,0,1,0,,Hydraulics
6972,19,19,,4,,64,0,1,0,,Engine
6979,20,DNF,,16,,42,0,1,0,,Hydraulics
6975,21,DNF,,17,,28,0,1,0,,Transmission
6977,22,DNF,,11,,19,0,1,0,,Hydraulics
