sessionId,entrantId,positionOrder,positionText,laps,time
2013-13-Q2,6964,1,1,,102905
2013-13-Q2,6965,2,2,,103727
2013-13-Q2,6972,3,3,,103892
2013-13-Q2,6973,4,4,,103920
2013-13-Q2,6971,5,5,,103957
2013-13-Q2,6966,6,6,,104153
2013-13-Q2,6975,7,7,,104245
2013-13-Q2,6967,8,8,,104376
2013-13-Q2,6981,9,9,,104407
2013-13-Q2,6968,10,10,,104497
2013-13-Q2,6974,11,11,,104555
2013-13-Q2,6980,12,12,,104588
2013-13-Q2,6970,13,13,,104658
2013-13-Q2,6969,14,14,,104752
2013-13-Q2,6977,15,15,,105185
2013-13-Q2,6979,16,16,,105388
