sessionId,entrantId,positionOrder,positionText,laps,time
2013-14-FP1,6973,1,1,20,99630
2013-14-FP1,6964,2,2,20,99667
2013-14-FP1,6965,3,3,19,99816
2013-14-FP1,6972,4,4,20,100117
2013-14-FP1,6968,5,5,22,100215
2013-14-FP1,6966,6,6,18,100374
2013-14-FP1,6971,7,7,19,100396
2013-14-FP1,6970,8,8,15,100677
2013-14-FP1,6969,9,9,20,100860
2013-14-FP1,6967,10,10,13,100880
2013-14-FP1,6974,11,11,20,100899
2013-14-FP1,6977,12,12,18,101432
2013-14-FP1,6978,13,13,22,101482
2013-14-FP1,6975,14,14,21,101626
2013-14-FP1,6980,15,15,19,101924
2013-14-FP1,6979,16,16,20,102002
2013-14-FP1,6981,17,17,18,102043
2013-14-FP1,6993,18,18,21,103008
2013-14-FP1,6982,19,19,20,103660
2013-14-FP1,6983,20,20,19,103883
2013-14-FP1,6985,21,21,14,104100
2013-14-FP1,6988,22,22,10,106810
