entrantId,lap,time,pos
6964,1,107023,1
6971,1,109131,2
6973,1,109848,3
6972,1,110482,4
6974,1,111311,5
6966,1,111814,6
6981,1,113122,7
6970,1,113950,8
6978,1,114725,9
6968,1,115281,10
6969,1,115921,11
6965,1,116328,12
6976,1,117017,13
6975,1,117587,14
6983,1,118750,15
6980,1,119105,16
6979,1,119605,17
6977,1,120158,18
6982,1,120786,19
6984,1,121436,20
6967,1,122290,21
6985,1,122636,22
6964,2,106386,1
6971,2,106944,2
6973,2,106908,3
6972,2,107525,4
6974,2,108039,5
6966,2,108239,6
6981,2,108239,7
6970,2,108101,8
6978,2,108609,9
6968,2,108949,10
6969,2,108784,11
6965,2,108641,12
6976,2,108881,13
6975,2,109161,14
6980,2,108458,15
6983,2,110809,16
6979,2,110269,17
6977,2,110434,18
6982,2,110557,19
6967,2,109287,20
6984,2,111665,21
6985,2,111542,22
6964,3,106922,1
6971,3,106890,2
6973,3,106924,3
6972,3,107549,4
6974,3,107663,5
6966,3,108115,6
6981,3,108080,7
6970,3,107665,8
6978,3,108388,9
6968,3,108641,10
6965,3,108339,11
6969,3,109239,12
6976,3,109088,13
6975,3,108982,14
6980,3,108759,15
6979,3,108572,16
6983,3,111874,17
6967,3,110124,18
6982,3,111294,19
6984,3,110705,20
6985,3,111091,21
6977,3,115186,22
6964,4,106685,1
6971,4,106867,2
6973,4,107090,3
6972,4,107653,4
6974,4,108215,5
6966,4,108241,6
6970,4,107676,7
6981,4,109368,8
6978,4,108795,9
6965,4,109181,10
6969,4,109381,11
6976,4,109062,12
6975,4,109346,13
6980,4,109536,14
6968,4,113805,15
6979,4,110033,16
6967,4,107996,17
6983,4,111182,18
6982,4,110980,19
6984,4,110874,20
6985,4,111196,21
6977,4,134506,22
6964,5,107131,1
6971,5,107094,2
6973,5,107401,3
6972,5,108266,4
6974,5,108353,5
6966,5,108161,6
6970,5,107996,7
6981,5,108884,8
6978,5,109014,9
6965,5,107603,10
6969,5,109114,11
6976,5,109170,12
6975,5,109684,13
6980,5,109726,14
6979,5,109860,15
6967,5,109257,16
6983,5,110721,17
6982,5,111173,18
6984,5,111594,19
6985,5,111681,20
6968,5,129953,21
6977,5,107266,22
6964,6,106848,1
6971,6,106983,2
6973,6,107258,3
6972,6,108066,4
6974,6,108212,5
6966,6,107899,6
6970,6,107820,7
6981,6,108835,8
6965,6,107738,9
6978,6,109786,10
6969,6,109169,11
6976,6,109353,12
6975,6,110036,13
6980,6,110166,14
6979,6,110753,15
6967,6,113499,16
6983,6,111170,17
6982,6,111085,18
6984,6,111507,19
6985,6,111477,20
6968,6,106266,21
6977,6,107717,22
6964,7,106643,1
6971,7,106712,2
6973,7,106527,3
6972,7,107233,4
6974,7,107419,5
6966,7,107661,6
6970,7,107664,7
6981,7,108578,8
6965,7,107797,9
6969,7,108481,10
6978,7,112606,11
6980,7,109597,12
6976,7,113006,13
6979,7,108902,14
6975,7,113480,15
6983,7,110954,16
6982,7,110658,17
6984,7,111333,18
6985,7,111209,19
6968,7,108002,20
6967,7,125891,21
6977,7,107635,22
6964,8,105986,1
6971,8,106413,2
6973,8,106840,3
6972,8,106873,4
