sessionId,entrantId,positionOrder,positionText,laps,time
2013-16-Q1,6968,1,1,,85574
2013-16-Q1,6965,2,2,,85665
2013-16-Q1,6981,3,3,,85673
2013-16-Q1,6967,4,4,,85793
2013-16-Q1,6973,5,5,,85802
2013-16-Q1,6970,6,6,,85819
2013-16-Q1,6972,7,7,,85833
2013-16-Q1,6974,8,8,,85883
2013-16-Q1,6976,9,9,,85908
2013-16-Q1,6966,10,10,,85934
2013-16-Q1,6964,11,11,,85943
2013-16-Q1,6975,12,12,,86057
2013-16-Q1,6969,13,13,,86107
2013-16-Q1,6980,14,14,,86155
2013-16-Q1,6977,15,15,,86164
2013-16-Q1,6979,16,16,,86178
2013-16-Q1,6971,17,17,7,86577
2013-16-Q1,6978,18,18,9,86842
2013-16-Q1,6984,19,19,8,86970
2013-16-Q1,6983,20,20,6,87105
2013-16-Q1,6982,21,21,7,87487
2013-16-Q1,6985,22,22,8,88138
