sessionId,entrantId,positionOrder,positionText,laps,time
2013-18-Q1,6979,1,1,,97821
2013-18-Q1,6973,2,2,,97959
2013-18-Q1,6975,3,3,,98082
2013-18-Q1,6965,4,4,,98161
2013-18-Q1,6974,5,5,,98339
2013-18-Q1,6969,6,6,,98367
2013-18-Q1,6994,7,7,,98375
2013-18-Q1,6964,8,8,,98516
2013-18-Q1,6968,9,9,,98588
2013-18-Q1,6971,10,10,,98676
2013-18-Q1,6972,11,11,,98743
2013-18-Q1,6980,12,12,,98880
2013-18-Q1,6981,13,13,,98882
2013-18-Q1,6976,14,14,,98894
2013-18-Q1,6966,15,15,,98929
2013-18-Q1,6967,16,16,,99094
2013-18-Q1,6977,17,17,10,99250
2013-18-Q1,6978,18,18,11,99351
2013-18-Q1,6983,19,19,10,100491
2013-18-Q1,6984,20,20,11,100528
2013-18-Q1,6982,21,21,10,100596
2013-18-Q1,6985,22,22,10,101401
