entrantId,lap,time,pos
6964,1,84703,1
6972,1,84725,2
6966,1,85624,3
6973,1,85720,4
6965,1,86182,5
6967,1,86953,6
6974,1,87658,7
6971,1,87723,8
6981,1,88231,9
6979,1,88881,10
6968,1,89289,11
6980,1,90118,12
6975,1,90364,13
6977,1,90645,14
6994,1,91329,15
6969,1,91552,16
6976,1,91625,17
6978,1,91788,18
6984,1,92997,19
6982,1,93318,20
6983,1,93330,21
6985,1,94097,22
6964,2,78402,1
6972,2,79788,2
6966,2,79290,3
6965,2,79761,4
6973,2,80712,5
6967,2,79793,6
6974,2,79928,7
6971,2,80898,8
6981,2,80568,9
6968,2,80576,10
6979,2,81008,11
6975,2,80507,12
6977,2,81049,13
6980,2,82137,14
6969,2,81476,15
6978,2,81764,16
6976,2,82161,17
6994,2,83479,18
6984,2,82872,19
6983,2,82869,20
6982,2,83420,21
6985,2,83245,22
6964,3,78214,1
6972,3,79486,2
6966,3,79315,3
6965,3,78852,4
6973,3,79247,5
6967,3,79723,6
6974,3,79705,7
6981,3,79882,8
6968,3,80161,9
6979,3,80524,10
6975,3,79913,11
6977,3,80015,12
6980,3,80904,13
6969,3,80798,14
6978,3,80979,15
6976,3,82449,16
6994,3,83983,17
6984,3,83356,18
6983,3,83974,19
6982,3,85094,20
6985,3,89424,21
6964,4,78283,1
6966,4,79149,2
6972,4,79954,3
6965,4,79391,4
6973,4,79191,5
6967,4,78985,6
6974,4,79518,7
6981,4,79660,8
6968,4,79139,9
6979,4,79866,10
6975,4,79932,11
6977,4,79810,12
6980,4,79619,13
6969,4,79361,14
6978,4,80413,15
6976,4,79357,16
6994,4,79920,17
6984,4,81141,18
6983,4,80511,19
6982,4,80552,20
6985,4,81810,21
6964,5,77806,1
6966,5,78965,2
6972,5,79268,3
6965,5,79212,4
6973,5,79371,5
6967,5,79352,6
6974,5,79701,7
6981,5,79600,8
6968,5,79437,9
6979,5,79754,10
6975,5,80547,11
6977,5,80316,12
6969,5,79470,13
6980,5,80671,14
6978,5,80049,15
6976,5,79534,16
6994,5,79648,17
6983,5,81097,18
6984,5,82460,19
6982,5,80702,20
6985,5,81151,21
6964,6,77954,1
6966,6,78705,2
6972,6,79376,3
6965,6,79342,4
6973,6,79341,5
6967,6,79692,6
6974,6,79319,7
6981,6,79569,8
6968,6,79366,9
6979,6,79696,10
6975,6,79922,11
6977,6,79586,12
6969,6,79328,13
6980,6,79882,14
6976,6,79493,15
6978,6,80555,16
6994,6,79707,17
6983,6,80395,18
6984,6,81425,19
6982,6,81433,20
6985,6,81136,21
6964,7,78119,1
6966,7,78575,2
6965,7,78642,3
6972,7,79822,4
6973,7,79191,5
6967,7,79069,6
6974,7,79538,7
6981,7,79957,8
6968,7,79809,9
6979,7,79675,10
6975,7,80707,11
6969,7,80484,12
6977,7,81650,13
6980,7,80394,14
6976,7,79613,15
6978,7,79715,16
6994,7,79763,17
6983,7,80462,18
6982,7,80761,19
6984,7,81689,20
6985,7,81154,21
6964,8,78131,1
6966,8,78514,2
6965,8,78312,3
6972,8,79280,4
6973,8,79396,5
6967,8,79303,6
6974,8,79391,7
6968,8,79157,8
6981,8,80522,9
6979,8,79696,10
6975,8,79469,11
6969,8,79242,12
6977,8,79732,13
6980,8,80072,14
6976,8,79865,15
6978,8,79768,16
6994,8,80025,17
6983,8,80313,18
6982,8,80220,19
6984,8,80639,20
6985,8,80758,21
6964,9,78079,1
6966,9,78715,2
6965,9,78209,3
6972,9,79139,4
6973,9,79250,5
6967,9,79145,6
6974,9,79884,7
6968,9,79651,8
6981,9,80245,9
6979,9,79587,10
6975,9,79869,11
