entrantId,positionOrder,positionText,time,gridPosition,gridPenalty,laps,points,pointsCountForWDC,pointsGained,timePenalty,reasonRetired
7017,1,1,6025974,1,,56,25,1,25,,
7001,2,2,6043287,3,,56,18,1,18,,
6998,3,3,6050508,2,,56,15,1,15,,
7008,4,4,6061966,4,,56,12,1,12,,
7016,5,5,6073173,7,,56,10,1,10,,
7013,6,6,6109665,10,,56,8,1,8,,
7010,7,7,6111050,13,,56,6,1,6,,
7018,8,8,6111511,18,3,56,4,1,4,,
7011,9,9,,8,,55,2,1,2,,
7015,10,10,,11,,55,1,1,1,,
7003,11,11,,15,,55,0,1,0,,
7002,12,12,,6,,55,0,1,0,,
7005,13,13,,20,,55,0,1,0,,
7004,14,14,,22,,54,0,1,0,,
7000,15,15,,21,,54,0,1,0,,
6999,16,DNF,,5,,49,0,1,0,,Front wing
7012,17,DNF,,12,,35,0,1,0,,Gearbox
7019,18,DNF,,17,,32,0,1,0,,Power unit
7014,19,DNF,,9,,18,0,1,0,,Turbo
7009,20,DNF,,19,,8,0,1,0,,Brakes
7007,21,DNF,,16,,7,0,1,0,,Power unit
7006,22,DNS,,14,,,0,1,0,,
