sessionId,entrantId,positionOrder,positionText,laps,time
2014-03-FP2,7017,1,1,28,94325
2014-03-FP2,7001,2,2,31,94690
2014-03-FP2,7008,3,3,28,95360
2014-03-FP2,6999,4,4,28,95433
2014-03-FP2,7010,5,5,13,95442
2014-03-FP2,7013,6,6,21,95528
2014-03-FP2,6998,7,7,30,95606
2014-03-FP2,7015,8,8,31,95640
2014-03-FP2,7011,9,9,22,95662
2014-03-FP2,7006,10,10,40,95802
2014-03-FP2,7018,11,11,9,95920
2014-03-FP2,7014,12,12,33,95972
2014-03-FP2,7016,13,13,18,95998
2014-03-FP2,7002,14,14,33,96366
2014-03-FP2,7019,15,15,13,96962
2014-03-FP2,7012,16,16,35,96975
2014-03-FP2,7007,17,17,25,97259
2014-03-FP2,7003,18,18,23,97599
2014-03-FP2,7009,19,19,15,97800
2014-03-FP2,7000,20,20,10,98247
2014-03-FP2,7005,21,21,33,98257
2014-03-FP2,7004,22,22,30,99136
