sessionId,entrantId,positionOrder,positionText,laps,time
2014-03-Q1,7016,1,1,,94874
2014-03-Q1,7018,2,2,,94934
2014-03-Q1,7006,3,3,,94998
2014-03-Q1,7010,4,4,,95085
2014-03-Q1,7002,5,5,,95234
2014-03-Q1,7008,6,6,,95251
2014-03-Q1,7011,7,7,,95288
2014-03-Q1,7017,8,8,,95323
2014-03-Q1,7015,9,9,,95395
2014-03-Q1,7001,10,10,,95439
2014-03-Q1,6998,11,11,,95549
2014-03-Q1,7013,12,12,,95699
2014-03-Q1,7014,13,13,,95815
2014-03-Q1,6999,14,14,,96220
2014-03-Q1,7012,15,15,,96567
2014-03-Q1,7003,16,16,,96654
2014-03-Q1,7007,17,17,7,96663
2014-03-Q1,7019,18,18,5,96840
2014-03-Q1,7005,19,19,6,97085
2014-03-Q1,7009,20,20,6,97310
2014-03-Q1,7004,21,21,7,97875
2014-03-Q1,7000,22,22,6,97913
