entrantId,lap,time,timeOfDay,annotation
7013,7,22408,15:16:33,
7003,9,23213,15:19:58,
7010,10,78277,15:21:37,
7002,10,22994,15:21:45,
7006,10,22914,15:21:51,
7004,10,23677,15:22:18,
7008,11,22776,15:23:16,
7016,11,23438,15:23:24,
7005,11,24883,15:23:49,
7007,11,24010,15:23:51,
7009,11,24784,15:23:56,
6998,12,22570,15:25:00,
7018,12,24780,15:25:09,
7000,12,23781,15:25:48,
7001,13,23277,15:26:51,
7015,14,23521,15:28:56,
7012,14,22988,15:29:04,
6999,15,23186,15:30:17,
7014,15,24119,15:30:46,
7017,17,22968,15:33:31,
7011,17,23670,15:34:28,
7012,27,23252,15:52:18,
7004,27,23730,15:53:08,
7013,28,22548,15:53:59,
7009,28,24320,15:54:28,
7006,30,23636,15:57:11,
7005,30,25402,15:57:59,
7016,31,22764,15:58:34,
7018,31,23639,15:58:35,
7002,31,23291,15:58:50,
7015,31,23628,15:59:08,
7011,31,22579,15:59:19,
7010,31,23830,15:59:50,
7014,32,24417,16:00:58,
7007,32,23022,16:01:12,
7000,32,23878,16:01:49,
7008,33,22947,16:01:40,
6998,34,22246,16:03:40,
7001,37,23089,16:08:37,
6999,37,22498,16:08:42,
7017,38,23999,16:09:59,
7012,40,22734,16:15:29,
7005,40,24722,16:15:53,
7004,42,23969,16:20:02,
7000,48,23886,16:30:26,
