entrantId,positionOrder,positionText,time,gridPosition,gridPenalty,laps,points,pointsCountForWDC,pointsGained,timePenalty,reasonRetired
6999,1,1,5952830,6,,70,25,1,25,,
7001,2,2,5957066,1,,70,18,1,18,,
6998,3,3,5958077,3,,70,15,1,15,,
7013,4,4,5964585,9,,70,12,1,12,,
7016,5,5,5965673,11,,70,10,1,10,,
7008,6,6,5967699,7,,70,8,1,8,,
7018,7,7,5976408,4,,70,6,1,6,,
7014,8,8,5980856,8,,70,4,1,4,,
7011,9,9,5982084,12,,70,2,1,2,,
7002,10,10,6006508,10,,70,1,1,1,,
7006,11,11,,13,,69,0,1,0,,Collision
7010,12,12,,5,,69,0,1,0,,Collision
7019,13,13,,16,,69,0,1,0,,
7012,14,14,,PL,,64,0,1,0,,Energy storage system failure
7003,15,DNF,,14,,59,0,1,0,,Rear wing
7015,16,DNF,,15,,47,0,1,0,,Drivetrain
7017,17,DNF,,2,,46,0,1,0,,Brakes
7005,18,DNF,,21,5,23,0,1,0,,Suspension
7007,19,DNF,,17,,21,0,1,0,,Power unit
7004,20,DNF,,20,,7,0,1,0,,Turbo
7000,21,DNF,,18,,0,0,1,0,,Accident
7009,22,DNF,,19,,0,0,1,0,,Accident
