entrantId,lap,time,timeOfDay,annotation
7000,1,3707606,13:06:02,Red flag
7000,2,23154,14:09:26,Drive-through
6998,10,28558,14:20:59,
7015,14,28700,14:27:58,
6999,15,28483,14:29:30,
7001,18,28329,14:33:49,
7005,18,29507,14:35:28,
7019,23,29956,14:43:21,
7017,24,29679,14:43:45,
7008,25,34410,14:46:13,
7006,26,29599,14:48:38,
7007,26,28831,14:48:44,
7011,27,28745,14:49:39,
7014,27,30218,14:50:07,
7013,28,28645,14:51:14,
7016,29,29579,14:53:24,
7009,29,30353,14:54:00,
7005,29,29540,14:54:55,
7000,29,29737,14:56:02,
7003,30,29710,14:55:23,
7018,31,29104,14:55:58,
6998,33,28787,14:59:34,
7015,35,28575,15:03:28,
7017,41,29291,15:12:01,
