entrantId,lap,time,timeOfDay,annotation
7001,1,33820,15:05:38,
7010,1,29912,15:05:45,
7000,4,31374,15:11:25,
6999,11,30006,15:23:27,
7019,12,30733,15:25:38,
7015,20,31584,15:39:18,
7003,20,30037,15:39:40,
7007,21,30180,15:41:54,
7013,22,29994,15:42:24,
7014,23,30272,15:44:29,
7016,24,30096,15:46:32,
7008,25,35112,15:47:40,
7006,25,29876,15:48:06,
7018,26,30363,15:49:13,
7011,26,29736,15:49:27,
7002,26,30097,15:49:44,
7017,27,30503,15:50:40,
7010,27,30278,15:51:39,
7004,27,31020,15:52:14,
6998,30,30355,15:56:37,
7015,37,30321,16:09:35,
7012,39,30303,16:12:57,
7004,43,30760,16:21:18,
