entrantId,lap,time,pos
7052,1,111297,1
7037,1,112002,2
7038,1,112940,3
7036,1,114494,4
7045,1,115743,5
7048,1,116397,6
7049,1,117600,7
7041,1,118046,8
7051,1,118773,9
7040,1,119136,10
7053,1,120068,11
7039,1,120564,12
7043,1,120666,13
7054,1,120921,14
7056,1,121628,15
7042,1,121947,16
7047,1,122563,17
7055,1,123944,18
7044,1,164733,19
7052,2,106505,1
7037,2,106830,2
7038,2,107180,3
7036,2,107416,4
7045,2,108147,5
7048,2,108496,6
7049,2,108795,7
7041,2,108815,8
7040,2,108863,9
7051,2,109284,10
7053,2,108634,11
7054,2,110281,12
7042,2,110469,13
7056,2,111375,14
7047,2,110898,15
7055,2,112753,16
7043,2,116091,17
7039,2,152942,18
7044,2,139637,19
7052,3,106996,1
7037,3,106795,2
7038,3,107014,3
7036,3,107785,4
7045,3,108158,5
7048,3,108076,6
7049,3,108853,7
7041,3,108760,8
7040,3,108335,9
7051,3,109185,10
7053,3,108819,11
7054,3,107384,12
7042,3,109372,13
7056,3,110250,14
7047,3,110469,15
7055,3,112235,16
7043,3,139849,17
7039,3,143953,18
7044,3,118619,19
7037,4,129884,1
7052,4,131570,2
7038,4,132990,3
7036,4,132388,4
7045,4,133180,5
7048,4,133743,6
7049,4,132191,7
7040,4,131714,8
7053,4,131863,9
7051,4,134497,10
7054,4,134568,11
7042,4,133331,12
7056,4,138361,13
7055,4,138382,14
7047,4,143593,15
7043,4,139657,16
7039,4,136147,17
7044,4,139288,18
7037,5,149327,1
7049,5,137958,2
7040,5,138912,3
7053,5,139148,4
7042,5,138317,5
7052,5,161918,6
7036,5,161563,7
7045,5,159599,8
7038,5,165795,9
7048,5,163662,10
7055,5,144906,11
7051,5,162100,12
7054,5,160800,13
7056,5,158864,14
7047,5,166724,15
7043,5,139609,16
7039,5,109747,17
7044,5,123685,18
7037,6,156358,1
7049,6,157061,2
7040,6,155991,3
7053,6,154840,4
7042,6,150464,5
7052,6,146542,6
7036,6,142161,7
7045,6,141718,8
7038,6,140879,9
7051,6,134010,10
7048,6,137591,11
7054,6,134617,12
7056,6,129490,13
7047,6,120991,14
7055,6,143195,15
7039,6,117757,16
7043,6,125467,17
7044,6,108029,18
7037,7,106037,1
7049,7,108511,2
7040,7,108718,3
7053,7,108881,4
7052,7,108285,5
7036,7,108247,6
7045,7,108566,7
7042,7,111547,8
7038,7,108861,9
7051,7,108271,10
7048,7,108538,11
7054,7,108190,12
7056,7,108572,13
7047,7,108321,14
7039,7,106534,15
7055,7,112666,16
7043,7,108770,17
7044,7,107145,18
7037,8,106216,1
7049,8,108362,2
7040,8,108293,3
7053,8,108418,4
7052,8,107999,5
7036,8,107893,6
7045,8,107380,7
7038,8,107441,8
7051,8,108517,9
7048,8,108717,10
7054,8,109950,11
7042,8,111899,12
7056,8,109310,13
7047,8,108381,14
7039,8,106765,15
7043,8,108651,16
7055,8,111361,17
7044,8,107375,18
7037,9,106326,1
7049,9,108240,2
7040,9,108116,3
7053,9,108163,4
7052,9,108076,5
7036,9,108060,6
7038,9,107524,7
7045,9,108251,8
7051,9,107786,9
7048,9,108230,10
7054,9,107066,11
7042,9,109473,12
7056,9,109255,13
7047,9,108576,14
7039,9,106558,15
7043,9,107333,16
7055,9,111003,17
7044,9,107749,18
7037,10,106264,1
7052,10,106846,2
7049,10,108502,3
7040,10,108938,4
7053,10,108707,5
7036,10,108070,6
7038,10,107920,7
7045,10,108478,8
7051,10,107683,9
7054,10,106679,10
7048,10,108967,11
7042,10,109210,12
7056,10,109980,13
7039,10,107014,14
7047,10,109181,15
7043,10,107268,16
7055,10,111296,17
7044,10,107746,18
7037,11,106470,1
7052,11,106377,2
7049,11,109396,3
7040,11,109298,4
7053,11,109251,5
7036,11,108765,6
7038,11,108730,7
7045,11,108623,8
7054,11,108019,9
7051,11,108896,10
7048,11,108299,11
7042,11,108948,12
7039,11,107637,13
7056,11,108813,14
7047,11,109002,15
7043,11,107897,16
7044,11,108230,17
7055,11,111143,18
7037,12,106210,1
7052,12,106352,2
7049,12,108871,3
7040,12,108493,4
7038,12,108493,5
7053,12,109236,6
7036,12,109743,7
7045,12,109279,8
7054,12,109285,9
7051,12,109516,10
7048,12,108299,11
7042,12,109035,12
7039,12,108500,13
7056,12,109204,14
7047,12,108804,15
7043,12,108260,16
7044,12,107697,17
7055,12,111337,18
7037,13,106677,1
7052,13,106348,2
7049,13,109391,3
7038,13,108081,4
7040,13,109976,5
7053,13,109556,6
7036,13,109570,7
7045,13,109255,8
7054,13,109083,9
7051,13,108867,10
7048,13,108787,11
7039,13,106975,12
7042,13,109918,13
7056,13,109246,14
7047,13,108870,15
7043,13,108224,16
7044,13,107706,17
7055,13,111462,18
7037,14,106649,1
7052,14,106162,2
7038,14,106481,3
7049,14,110336,4
7040,14,109998,5
7045,14,109009,6
7054,14,109598,7
7036,14,110352,8
7051,14,109731,9
7048,14,110055,10
7053,14,114338,11
7039,14,111539,12
7056,14,109523,13
7042,14,110011,14
7047,14,109019,15
7043,14,108648,16
7044,14,108175,17
7055,14,111639,18
7037,15,106710,1
7052,15,106495,2
7038,15,106257,3
7045,15,108930,4
7054,15,108639,5
7036,15,109627,6
7051,15,109488,7
7049,15,113114,8
7048,15,109559,9
7040,15,114886,10
7056,15,109511,11
7042,15,109898,12
7047,15,109728,13
7043,15,109515,14
7044,15,108596,15
7053,15,126593,16
7039,15,124534,17
7055,15,112057,18
7037,16,106946,1
7052,16,106724,2
7038,16,106258,3
7045,16,107340,4
7054,16,107903,5
7036,16,109008,6
7051,16,109045,7
7048,16,109032,8
7056,16,108996,9
7047,16,109554,10
7042,16,110919,11
7043,16,109503,12
7044,16,108630,13
7039,16,105956,14
7053,16,106997,15
7049,16,128999,16
7040,16,126525,17
7055,16,111787,18
7037,17,111047,1
7052,17,106358,2
7038,17,106110,3
7045,17,107085,4
7054,17,107319,5
7051,17,109234,6
7036,17,110431,7
7048,17,109436,8
7056,17,108460,9
7047,17,109555,10
7043,17,110513,11
7039,17,105372,12
7042,17,115579,13
7053,17,107317,14
7040,17,106833,15
7044,17,110615,16
7049,17,108835,17
7055,17,112559,18
7052,18,106709,1
7038,18,106699,2
7037,18,123523,3
7045,18,107653,4
7054,18,107791,5
7051,18,108432,6
7048,18,108582,7
7056,18,108533,8
7036,18,114534,9
7047,18,109438,10
7039,18,105803,11
7043,18,108755,12
7053,18,106786,13
7040,18,106355,14
7049,18,108666,15
7044,18,112960,16
7042,18,127099,17
7055,18,113350,18
7052,19,107028,1
7038,19,106379,2
7037,19,104452,3
7045,19,107695,4
7054,19,108042,5
7051,19,108557,6
7048,19,109063,7
7056,19,108588,8
7039,19,105523,9
7047,19,110118,10
7053,19,107280,11
7040,19,106465,12
7043,19,112096,13
7049,19,108291,14
7036,19,127348,15
7042,19,106425,16
7055,19,113520,17
7044,19,138209,18
7052,20,106761,1
7038,20,106568,2
7037,20,104896,3
7045,20,107670,4
7054,20,107976,5
7048,20,109611,6
7051,20,112373,7
7039,20,106284,8
7056,20,108606,9
7053,20,107917,10
7047,20,109109,11
7040,20,107378,12
7043,20,113289,13
7049,20,108101,14
7036,20,106262,15
7042,20,106827,16
7044,20,106415,17
7055,20,113828,18
7052,21,106854,1
7037,21,105706,2
7038,21,107110,3
7045,21,108114,4
7054,21,107792,5
7039,21,105774,6
7048,21,112210,7
7040,21,106711,8
7053,21,108852,9
7047,21,114608,10
7049,21,108424,11
7036,21,106763,12
7051,21,126689,13
7056,21,129704,14
7042,21,106863,15
7043,21,127000,16
7044,21,106678,17
7055,21,114644,18
7052,22,106793,1
7037,22,104725,2
7038,22,107078,3
7045,22,107898,4
7054,22,108080,5
7039,22,105527,6
7040,22,105881,7
7053,22,106824,8
7049,22,107825,9
7036,22,106653,10
7051,22,106495,11
7048,22,126136,12
7042,22,107084,13
7043,22,105540,14
7047,22,127332,15
7044,22,106158,16
7055,22,119043,17
7052,23,107498,1
7037,23,104983,2
7038,23,107295,3
7045,23,108078,4
7054,23,108304,5
7039,23,105706,6
7040,23,106845,7
7053,23,107285,8
7049,23,107670,9
7051,23,106793,10
7036,23,107978,11
7048,23,105747,12
7042,23,107259,13
7043,23,106404,14
7047,23,107087,15
7044,23,106364,16
7055,23,132314,17
7037,24,104964,1
7052,24,112137,2
7038,24,107571,3
7054,24,109205,4
7045,24,112639,5
7039,24,106133,6
7040,24,107046,7
7053,24,107529,8
7051,24,106449,9
7049,24,109149,10
7036,24,108478,11
7048,24,106636,12
7042,24,107383,13
7043,24,106896,14
7047,24,107273,15
7044,24,106552,16
7055,24,109666,17
7037,25,104952,1
7038,25,107658,2
7052,25,124540,3
7039,25,107305,4
7054,25,113996,5
7040,25,106493,6
7053,25,107314,7
7045,25,125761,8
7051,25,106492,9
7049,25,108632,10
7036,25,108456,11
7048,25,108436,12
7042,25,107313,13
7043,25,106975,14
7047,25,107357,15
7044,25,106573,16
7055,25,111157,17
7037,26,105058,1
7038,26,111325,2
7052,26,104017,3
7039,26,106131,4
7040,26,110611,5
7053,26,107471,6
7045,26,105944,7
7051,26,105998,8
7054,26,124960,9
7049,26,110042,10
7036,26,110288,11
7042,26,107594,12
7048,26,113732,13
7043,26,107515,14
7047,26,107521,15
7044,26,106740,16
7055,26,113480,17
7037,27,105287,1
7052,27,104293,2
7039,27,106286,3
7038,27,124090,4
7053,27,107354,5
7045,27,106305,6
7051,27,105979,7
7054,27,105195,8
7049,27,108211,9
7036,27,107826,10
7042,27,107963,11
7048,27,106594,12
7040,27,126327,13
7043,27,107219,14
7047,27,106906,15
7044,27,106968,16
7055,27,110400,17
7037,28,105336,1
7052,28,103976,2
7039,28,106361,3
7038,28,104655,4
7053,28,107311,5
7045,28,106678,6
7051,28,106055,7
7054,28,105351,8
7036,28,106800,9
7049,28,109608,10
7042,28,107952,11
7048,28,107731,12
7040,28,107284,13
7043,28,107147,14
7047,28,107264,15
7044,28,106726,16
7055,28,110094,17
7037,29,105033,1
7052,29,104469,2
7038,29,104065,3
7039,29,107441,4
7045,29,105730,5
7053,29,108885,6
7051,29,106612,7
7054,29,105389,8
7036,29,107108,9
7049,29,108611,10
7048,29,107955,11
7042,29,109328,12
7040,29,109200,13
7043,29,107853,14
7047,29,107156,15
7044,29,107495,16
7055,29,113642,17
7037,30,105346,1
7052,30,104201,2
7038,30,104441,3
7039,30,106618,4
7045,30,106040,5
7051,30,106120,6
7054,30,107386,7
7053,30,108620,8
7036,30,107617,9
7048,30,106577,10
7049,30,110966,11
7042,30,110724,12
7047,30,107397,13
7040,30,115252,14
7043,30,112875,15
7044,30,107856,16
7055,30,112712,17
7037,31,105342,1
7052,31,104320,2
7038,31,104255,3
7039,31,106653,4
7045,31,105591,5
7051,31,106188,6
7054,31,105614,7
7053,31,108172,8
7036,31,107153,9
7048,31,107016,10
7042,31,108446,11
7047,31,107536,12
7049,31,112505,13
7040,31,107278,14
7044,31,107965,15
7043,31,127677,16
7055,31,110443,17
7037,32,105586,1
7052,32,104298,2
7038,32,104065,3
7039,32,106702,4
7045,32,105802,5
7051,32,106487,6
7054,32,105923,7
7053,32,112066,8
7036,32,107176,9
7048,32,106901,10
7042,32,107799,11
7047,32,107370,12
7040,32,106876,13
7044,32,108128,14
7049,32,127188,15
7043,32,106297,16
7055,32,110788,17
7037,33,105456,1
7052,33,104301,2
7038,33,104478,3
7039,33,106852,4
7045,33,105827,5
7051,33,106262,6
7054,33,105995,7
7036,33,107786,8
7048,33,106665,9
7042,33,107796,10
7047,33,107430,11
7040,33,107157,12
7053,33,126765,13
7044,33,111870,14
7049,33,106534,15
7043,33,106260,16
7055,33,114724,17
7037,34,105421,1
7052,34,104487,2
7038,34,104604,3
7039,34,110889,4
7045,34,106051,5
7054,34,106945,6
7051,34,109094,7
7048,34,106862,8
7036,34,111197,9
7042,34,108090,10
7047,34,107683,11
7053,34,106558,12
7040,34,111972,13
7049,34,106973,14
7043,34,107134,15
7044,34,126190,16
7055,34,111399,17
7037,35,105774,1
7052,35,105545,2
7038,35,104509,3
7045,35,105612,4
7054,35,105233,5
7051,35,107088,6
7039,35,123968,7
7048,35,107110,8
7053,35,107650,9
7042,35,112359,10
7047,35,112277,11
7036,35,126164,12
7049,35,106237,13
7043,35,106655,14
7040,35,126545,15
7044,35,106119,16
7055,35,112347,17
7037,36,105763,1
7052,36,105340,2
7038,36,104497,3
7045,36,105476,4
7054,36,105302,5
7039,36,105144,6
7051,36,107232,7
7048,36,107124,8
7053,36,105970,9
7036,36,105371,10
7049,36,106425,11
7043,36,106958,12
7040,36,104812,13
7047,36,127021,14
7044,36,105990,15
7042,36,136530,16
7055,36,112945,17
7037,37,109791,1
7052,37,105612,2
7038,37,104553,3
7045,37,105640,4
7054,37,105206,5
7039,37,104590,6
7051,37,107552,7
7048,37,107126,8
7053,37,105507,9
7036,37,105504,10
7049,37,106298,11
7043,37,106923,12
7040,37,104979,13
7047,37,106234,14
7044,37,107143,15
7042,37,105345,16
7055,37,111688,17
7052,38,109322,1
7037,38,124142,2
7038,38,105564,3
7045,38,108948,4
7054,38,105320,5
7039,38,104432,6
7051,38,107933,7
7048,38,107380,8
7053,38,105779,9
7036,38,105357,10
7049,38,106691,11
7043,38,106077,12
7040,38,105415,13
7047,38,106056,14
7044,38,105070,15
7042,38,107494,16
7055,38,118796,17
7037,39,103732,1
7038,39,105218,2
7052,39,123237,3
7054,39,105026,4
7039,39,104393,5
7051,39,107557,6
7045,39,126478,7
7048,39,111137,8
7053,39,105801,9
7036,39,105445,10
7049,39,106287,11
7043,39,105983,12
7040,39,106060,13
7047,39,106349,14
7044,39,105553,15
7042,39,108117,16
7055,39,118589,17
7037,40,104012,1
7038,40,105241,2
7052,40,103161,3
7039,40,104124,4
7054,40,109347,5
7045,40,103990,6
7051,40,114152,7
7053,40,105857,8
7036,40,105379,9
7048,40,126319,10
7049,40,106779,11
7043,40,106267,12
7040,40,106334,13
7044,40,107502,14
7042,40,106645,15
7047,40,119513,16
7055,40,113894,17
7037,41,104089,1
7038,41,108839,2
7052,41,104565,3
7039,41,104571,4
7045,41,104462,5
7054,41,123551,6
7053,41,105698,7
7051,41,124425,8
7036,41,106197,9
7048,41,104514,10
7049,41,106442,11
7043,41,106332,12
7040,41,106163,13
7044,41,105879,14
7042,41,106098,15
7047,41,163347,16
