sessionId,entrantId,positionOrder,positionText,time,gridPosition,gridPenalty,laps,points,pointsCountForWDC,pointsGained,gap,timePenalty,reasonRetired
2015-04-R,7052,1,1,5705809,1,,57,25,1,25,,,
2015-04-R,7039,2,2,5709189,4,,57,18,1,18,3380,,
2015-04-R,7038,3,3,5711842,3,,57,15,1,15,6033,,
2015-04-R,7054,4,4,5748766,5,,57,12,1,12,42957,,
2015-04-R,7037,5,5,5749798,2,,57,10,1,10,43989,,
2015-04-R,7036,6,6,5767560,7,,57,8,1,8,"01:01,75",,
2015-04-R,7040,7,7,5790572,10,,57,6,1,6,"01:24,76",,
2015-04-R,7042,8,8,,11,,56,4,1,4,+1 lap,,
2015-04-R,7048,9,9,,17,,56,2,1,2,+1 lap,,
2015-04-R,7045,10,10,,6,,56,1,1,1,+1 lap,,
2015-04-R,7056,11,11,,14,,56,0,1,0,+1 lap,,
2015-04-R,7043,12,12,,12,,56,0,1,0,+1 lap,,
2015-04-R,7049,13,13,,8,,56,0,1,0,+1 lap,,
2015-04-R,7041,14,14,,13,,56,0,1,0,+1 lap,,
2015-04-R,7044,15,15,,18,,56,0,1,0,+1 lap,5000,
2015-04-R,7050,16,16,,20,,55,0,1,0,+2 laps,,
2015-04-R,7055,17,17,,19,,54,0,1,0,+3 laps,,
2015-04-R,7051,18,DNF,,15,,34,0,1,0,,,Electrical
2015-04-R,7053,19,DNF,,9,,29,0,1,0,,,Wheel hub
2015-04-R,7047,20,DNS,,20,,,0,1,0,,,Power unit
