sessionId,entrantId,positionOrder,positionText,laps,time
2015-07-FP2,7052,1,1,22,75988
2015-07-FP2,7037,2,2,19,76304
2015-07-FP2,7039,3,3,20,76310
2015-07-FP2,7038,4,4,22,76440
2015-07-FP2,7044,5,5,15,76600
2015-07-FP2,7054,6,6,18,76849
2015-07-FP2,7040,7,7,15,76864
2015-07-FP2,7045,8,8,19,77041
2015-07-FP2,7048,9,9,10,77092
2015-07-FP2,7036,10,10,16,77111
2015-07-FP2,7049,11,11,15,77120
2015-07-FP2,7041,12,12,17,77261
2015-07-FP2,7053,13,13,23,77318
2015-07-FP2,7042,14,14,20,77367
2015-07-FP2,7056,15,15,21,77627
2015-07-FP2,7051,16,16,23,77657
2015-07-FP2,7043,17,17,21,77751
2015-07-FP2,7047,18,18,20,78135
2015-07-FP2,7055,19,19,15,79531
2015-07-FP2,7050,20,20,13,79734
