entrantId,lap,time,pos
7038,1,92902,1
7052,1,93767,2
7037,1,95352,3
7045,1,96377,4
7049,1,97967,5
7051,1,98831,6
7054,1,99657,7
7043,1,100842,8
7053,1,102198,9
7040,1,102739,10
7042,1,103896,11
7044,1,104631,12
7048,1,105154,13
7041,1,105713,14
7055,1,106309,15
7036,1,107791,16
7047,1,108678,17
7050,1,109759,18
7038,2,137155,1
7052,2,138219,2
7037,2,137731,3
7045,2,137878,4
7049,2,137109,5
7051,2,137574,6
7054,2,138218,7
7043,2,138176,8
7053,2,137391,9
7040,2,138750,10
7042,2,138375,11
7044,2,138199,12
7055,2,137092,13
7041,2,138158,14
7036,2,137708,15
7047,2,138046,16
7048,2,142352,17
7038,3,125597,1
7052,3,124973,2
7037,3,124860,3
7045,3,124494,4
7049,3,124970,5
7051,3,124765,6
7054,3,124035,7
7043,3,123754,8
7053,3,124332,9
7040,3,124385,10
7042,3,124481,11
7044,3,124587,12
7055,3,124662,13
7036,3,124128,14
7048,3,123127,15
7047,3,124174,16
7041,3,127893,17
7038,4,118402,1
7052,4,118053,2
7037,4,118449,3
7045,4,118524,4
7049,4,118061,5
7051,4,119122,6
7054,4,119005,7
7043,4,119968,8
7053,4,120792,9
7040,4,119735,10
7042,4,119388,11
7044,4,119950,12
7055,4,119873,13
7036,4,119923,14
7048,4,119807,15
7041,4,120129,16
7047,4,121925,17
7038,5,113637,1
7052,5,113486,2
7037,5,113492,3
7045,5,113417,4
7049,5,113833,5
7051,5,112329,6
7054,5,112664,7
7043,5,112134,8
7053,5,111032,9
7040,5,111200,10
7042,5,111997,11
7044,5,111721,12
7055,5,111937,13
7036,5,111412,14
7048,5,111958,15
7041,5,111750,16
7047,5,112208,17
7038,6,109873,1
7052,6,109741,2
7037,6,108979,3
7045,6,108618,4
7049,6,107737,5
7051,6,107385,6
7054,6,106724,7
7043,6,105630,8
7053,6,105136,9
7040,6,104361,10
7042,6,103416,11
7044,6,102778,12
7055,6,102604,13
7036,6,101619,14
7048,6,100620,15
7041,6,100443,16
7047,6,102229,17
7038,7,73607,1
7052,7,74440,2
7037,7,75223,3
7045,7,75702,4
7049,7,75798,5
7051,7,76056,6
7054,7,76416,7
7043,7,76650,8
7053,7,76923,9
7042,7,77059,10
7040,7,77752,11
7044,7,77517,12
7036,7,77494,13
7055,7,78279,14
7048,7,77964,15
7041,7,77538,16
7047,7,101204,17
7038,8,73177,1
7052,8,73244,2
7037,8,73836,3
7045,8,73986,4
7049,8,74168,5
7051,8,74433,6
7054,8,74847,7
7043,8,75186,8
7053,8,75110,9
7042,8,75123,10
7040,8,75117,11
7044,8,75504,12
7036,8,75671,13
7048,8,75859,14
7055,8,77455,15
7041,8,77425,16
7047,8,118603,17
7038,9,72629,1
7052,9,73034,2
7037,9,73419,3
7045,9,73652,4
7049,9,73973,5
7051,9,73784,6
7054,9,73599,7
7043,9,74127,8
7053,9,74351,9
7042,9,74520,10
7040,9,74893,11
7044,9,74891,12
7036,9,75099,13
7048,9,75286,14
7041,9,76237,15
7055,9,78337,16
7038,10,72419,1
7052,10,72762,2
7037,10,72896,3
7045,10,73258,4
7049,10,73525,5
7051,10,73642,6
7054,10,73480,7
7043,10,74072,8
7053,10,73854,9
7042,10,74259,10
7040,10,73941,11
7044,10,74498,12
7036,10,74829,13
7048,10,74788,14
7041,10,75779,15
