sessionId,entrantId,positionOrder,positionText,time,gridPosition,gridPenalty,laps,points,pointsCountForWDC,pointsGained,gap,timePenalty,reasonRetired
2015-08-R,7038,1,1,5416930,2,,71,25,1,25,,,
2015-08-R,7052,2,2,5425730,1,,71,18,1,18,8800,5000,
2015-08-R,7045,3,3,5434503,4,,71,15,1,15,17573,,
2015-08-R,7037,4,4,5435111,3,,71,12,1,12,18181,,
2015-08-R,7054,5,5,5470534,6,,71,10,1,10,53604,,
2015-08-R,7049,6,6,5481005,5,,71,8,1,8,"01:04,08",,
2015-08-R,7044,7,7,,10,,70,6,1,6,+1 lap,,
2015-08-R,7051,8,8,,7,,70,4,1,4,+1 lap,,
2015-08-R,7042,9,9,,13,,70,2,1,2,+1 lap,,
2015-08-R,7036,10,10,,18,10,70,1,1,1,+1 lap,,
2015-08-R,7043,11,11,,8,,70,0,1,0,+1 lap,,
2015-08-R,7048,12,12,,15,10,70,0,1,0,+1 lap,,
2015-08-R,7041,13,13,,11,,69,0,1,0,+2 laps,,
2015-08-R,7055,14,14,,16,,68,0,1,0,+3 laps,,
2015-08-R,7040,15,DNF,,9,,35,0,1,0,,,Gearbox
2015-08-R,7053,16,DNF,,12,,35,0,1,0,,5000,Electrical
2015-08-R,7047,17,DNF,,20,25,8,0,1,0,,,Electrical
2015-08-R,7050,18,DNF,,17,,1,0,1,0,,,Oil leak
2015-08-R,7039,19,DNF,,14,,0,0,1,0,,,Collision
2015-08-R,7056,20,DNF,,19,25,0,0,1,0,,,Collision
