entrantId,lap,time,pos
7052,1,117421,1
7042,1,118864,2
7036,1,119950,3
7038,1,121269,4
7054,1,121470,5
7037,1,121920,6
7044,1,122290,7
7040,1,122796,8
7045,1,123254,9
7041,1,123837,10
7048,1,124633,11
7051,1,125805,12
7039,1,126321,13
7056,1,127088,14
7047,1,127527,15
7043,1,127794,16
7055,1,128761,17
7050,1,130804,18
7053,1,347531,19
7052,2,116039,1
7042,2,116197,2
7036,2,116263,3
7038,2,116746,4
7037,2,117106,5
7054,2,118359,6
7040,2,117588,7
7045,2,118074,8
7041,2,118173,9
7048,2,117907,10
7051,2,117181,11
7039,2,117466,12
7056,2,119610,13
7047,2,120810,14
7043,2,120918,15
7055,2,121686,16
7050,2,120954,17
7044,2,215871,18
7053,2,138254,19
7052,3,116017,1
7042,3,116477,2
7036,3,116429,3
7038,3,116292,4
7037,3,116388,5
7054,3,116793,6
7040,3,116854,7
7045,3,116968,8
7048,3,116706,9
7041,3,118550,10
7051,3,118205,11
7039,3,117964,12
7056,3,119196,13
7043,3,117999,14
7047,3,120798,15
7055,3,121276,16
7050,3,121458,17
7053,3,117446,18
7052,4,115782,1
7042,4,116408,2
7036,4,116453,3
7038,4,116420,4
7037,4,116867,5
7054,4,117281,6
7040,4,117237,7
7045,4,117413,8
7048,4,117520,9
7051,4,116651,10
7041,4,118735,11
7039,4,117963,12
7056,4,119487,13
7043,4,119867,14
7047,4,120759,15
7055,4,120956,16
7050,4,121053,17
7053,4,117826,18
7052,5,115735,1
7042,5,116767,2
7036,5,116417,3
7038,5,116695,4
7037,5,116676,5
7054,5,117420,6
7040,5,117497,7
7045,5,117948,8
7048,5,117581,9
7051,5,117450,10
7039,5,117344,11
7041,5,119243,12
7056,5,119864,13
7043,5,119403,14
7047,5,120081,15
7055,5,120513,16
7050,5,120782,17
7053,5,122090,18
7052,6,115722,1
7042,6,116894,2
7036,6,116785,3
7038,6,116149,4
7037,6,116737,5
7054,6,117702,6
7040,6,117478,7
7048,6,116529,8
7045,6,118673,9
7051,6,117752,10
7039,6,117401,11
7041,6,118614,12
7056,6,119348,13
7043,6,119377,14
7047,6,120603,15
7055,6,120812,16
7050,6,120803,17
7053,6,132067,18
7052,7,116180,1
7042,7,117398,2
7038,7,116726,3
7037,7,116652,4
7036,7,121699,5
7054,7,118358,6
7040,7,118374,7
7048,7,117741,8
7045,7,118346,9
7051,7,118086,10
7039,7,117684,11
7041,7,118758,12
7056,7,119326,13
7043,7,119304,14
7047,7,120330,15
7055,7,120782,16
7050,7,121053,17
7053,7,118435,18
7052,8,116122,1
7038,8,117298,2
7037,8,117346,3
7042,8,122276,4
7040,8,117878,5
7048,8,119742,6
7045,8,119074,7
7051,8,119109,8
7039,8,118616,9
7054,8,124316,10
7036,8,130249,11
7041,8,119863,12
7043,8,119982,13
7056,8,124154,14
7047,8,120960,15
7055,8,121598,16
7050,8,121678,17
7053,8,117638,18
7052,9,116440,1
7038,9,116194,2
7037,9,117179,3
7040,9,122271,4
7039,9,118820,5
7036,9,116739,6
7048,9,123005,7
7042,9,130750,8
7045,9,122936,9
7051,9,123130,10
7041,9,123476,11
7054,9,130342,12
7043,9,121265,13
7047,9,121102,14
7055,9,121383,15
7056,9,131646,16
7050,9,121982,17
7053,9,117546,18
7052,10,117096,1
7038,10,116292,2
7037,10,117459,3
7039,10,117035,4
7036,10,116463,5
7042,10,116369,6
7040,10,129016,7
7054,10,116794,8
7048,10,130916,9
7045,10,130819,10
7051,10,133412,11
7043,10,125666,12
7041,10,133458,13
7047,10,121761,14
7056,10,118971,15
7055,10,121689,16
7050,10,122041,17
7053,10,117273,18
7052,11,116828,1
7038,11,116589,2
7037,11,117478,3
7036,11,117569,4
7042,11,117143,5
7039,11,122307,6
7040,11,116250,7
7054,11,116498,8
7048,11,116364,9
7045,11,116237,10
7051,11,116835,11
7041,11,117650,12
7056,11,118674,13
7047,11,125341,14
7055,11,121841,15
7043,11,132149,16
7050,11,122170,17
7053,11,117051,18
7052,12,117073,1
7038,12,121136,2
7037,12,118217,3
7042,12,116262,4
7036,12,118162,5
7040,12,115666,6
7054,12,116565,7
7048,12,116288,8
7045,12,116266,9
7039,12,128635,10
7051,12,115914,11
7041,12,118053,12
7056,12,118552,13
7043,12,116888,14
7055,12,122218,15
7050,12,121908,16
7047,12,132927,17
7053,12,117655,18
7052,13,121494,1
7037,13,117926,2
7038,13,128295,3
7042,13,117055,4
7036,13,117262,5
7040,13,116190,6
7054,13,116373,7
7048,13,116186,8
7045,13,116424,9
7039,13,116655,10
7051,13,116645,11
7041,13,118188,12
7056,13,118642,13
7043,13,116667,14
7055,13,122011,15
7050,13,121719,16
7047,13,119030,17
7053,13,117040,18
7052,14,128998,1
7037,14,122971,2
7038,14,114948,3
7042,14,116753,4
7036,14,117035,5
7040,14,116167,6
7054,14,116578,7
7048,14,116762,8
7045,14,116687,9
7039,14,116313,10
7051,14,116185,11
7041,14,117771,12
7056,14,118348,13
7043,14,117074,14
7055,14,121987,15
7050,14,121858,16
7047,14,118854,17
7053,14,117183,18
7052,15,114938,1
7038,15,114264,2
7042,15,116389,3
7036,15,117154,4
7040,15,115981,5
7037,15,128622,6
7048,15,116296,7
7045,15,116100,8
7054,15,120787,9
7039,15,115810,10
7051,15,116045,11
7041,15,117515,12
7056,15,118149,13
7043,15,117626,14
7047,15,118709,15
7050,15,122366,16
7055,15,126602,17
7053,15,117172,18
7052,16,114679,1
7038,16,114664,2
7042,16,116311,3
7036,16,116331,4
7040,16,115513,5
7037,16,116128,6
7048,16,116257,7
7045,16,116075,8
7039,16,115987,9
7051,16,115828,10
7054,16,124233,11
7041,16,117689,12
7056,16,118158,13
7043,16,117837,14
7047,16,118382,15
7050,16,126491,16
7055,16,133561,17
7053,16,117625,18
7052,17,114861,1
7038,17,114638,2
7042,17,116761,3
7036,17,116448,4
7040,17,115391,5
7037,17,116184,6
7048,17,116771,7
7045,17,116404,8
7039,17,116247,9
7051,17,116629,10
7054,17,116692,11
7041,17,118454,12
7043,17,117653,13
7056,17,119021,14
7047,17,119218,15
7055,17,119413,16
7050,17,133655,17
7053,17,117053,18
7052,18,114827,1
7038,18,114921,2
7042,18,117296,3
7040,18,115818,4
7036,18,118080,5
7037,18,116008,6
7048,18,116546,7
7045,18,117104,8
7039,18,116852,9
7051,18,116405,10
7054,18,116367,11
7041,18,117544,12
7043,18,117463,13
7056,18,118496,14
7047,18,118913,15
7055,18,119543,16
7050,18,118941,17
7053,18,117675,18
7052,19,115241,1
7038,19,115454,2
7042,19,117409,3
7040,19,116311,4
7036,19,116757,5
7037,19,116115,6
7048,19,116253,7
7045,19,116430,8
7039,19,116389,9
7051,19,116411,10
7054,19,116158,11
7041,19,117270,12
7043,19,117595,13
7056,19,118330,14
7047,19,119345,15
7055,19,119670,16
7050,19,119281,17
7053,19,149555,18
7052,20,115751,1
7038,20,115736,2
7040,20,115769,3
7037,20,116348,4
7042,20,123737,5
7048,20,116933,6
7045,20,116654,7
7039,20,116881,8
7051,20,116792,9
7054,20,117186,10
7041,20,117991,11
7043,20,122902,12
7056,20,127629,13
7047,20,132974,14
7055,20,136116,15
7050,20,137421,16
7053,20,118208,17
7052,21,137948,1
7038,21,137663,2
7040,21,143889,3
7037,21,142634,4
7048,21,146893,5
7045,21,149690,6
7039,21,149880,7
7051,21,149328,8
7042,21,162366,9
7054,21,152626,10
7041,21,150955,11
7043,21,146932,12
7056,21,153685,13
7047,21,148503,14
7055,21,134070,15
7050,21,132816,16
7053,21,117510,17
7052,22,128694,1
7038,22,127776,2
7037,22,124049,3
7040,22,132318,4
7048,22,121920,5
7042,22,116959,6
7045,22,129009,7
7039,22,129220,8
7051,22,129037,9
7041,22,116892,10
7054,22,129969,11
7043,22,116970,12
7056,22,115522,13
7047,22,116901,14
7055,22,119822,15
7050,22,120889,16
7053,22,119092,17
7052,23,115330,1
7038,23,115676,2
7037,23,115397,3
7040,23,114957,4
7048,23,116326,5
7042,23,114809,6
7045,23,114093,7
7039,23,114543,8
7051,23,114839,9
7054,23,114646,10
7041,23,117984,11
7043,23,117222,12
7056,23,116338,13
7047,23,117028,14
7055,23,121377,15
7050,23,119303,16
7053,23,123779,17
7052,24,114673,1
7038,24,115326,2
7037,24,115386,3
7040,24,115076,4
7048,24,116743,5
7042,24,115350,6
7045,24,114738,7
7039,24,115426,8
7051,24,115329,9
7054,24,115732,10
