sessionId,entrantId,positionOrder,positionText,laps,time
2015-13-FP3,7037,1,1,12,105682
2015-13-FP3,7039,2,2,12,106132
2015-13-FP3,7048,3,3,19,106167
2015-13-FP3,7036,4,4,14,106359
2015-13-FP3,7052,5,5,15,106802
2015-13-FP3,7038,6,6,16,107223
2015-13-FP3,7056,7,7,14,107237
2015-13-FP3,7053,8,8,18,107301
2015-13-FP3,7051,9,9,17,107464
2015-13-FP3,7041,10,10,20,107568
2015-13-FP3,7054,11,11,20,107587
2015-13-FP3,7049,12,12,16,107640
2015-13-FP3,7047,13,13,14,107715
2015-13-FP3,7045,14,14,21,107733
2015-13-FP3,7044,15,15,16,107817
2015-13-FP3,7042,16,16,15,108002
2015-13-FP3,7040,17,17,15,108116
2015-13-FP3,7043,18,18,20,108932
2015-13-FP3,7062,19,19,26,112588
2015-13-FP3,7050,20,20,22,115293
